BEGIN
SET
Output format is unaligned.
Field separator is ",".
coorte,versao,decisao,mercado,direcao,dia,entrada_utc,horizonte_s,saida_real,no_recorte_par,no_recorte_mercado_dia,entry_open,atr,horizonte_min,preco,ret_atr
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,15,489.3500000000,-0.37973490
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,30,490.4500000000,-0.20993474
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,60,483.5200000000,-1.27967574
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,80,484.8700000000,-1.07128464
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,120,477.0300000000,-2.28149668
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,180,487.7900000000,-0.62054240
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3594f73-a972-5e0c-9442-d1796d6fb894,ZECUSDT,long,2026-07-07,2026-07-07 20:31:00,14400,stop,t,t,491.8100000000,6.478203596964518401770306359,240,484.5700000000,-1.11759377
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,5,35.9300000000,0.35443370
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,10,35.9300000000,0.35443370
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,15,35.8900000000,0.23628913
replay:fa005985-0b55-4820-904c-8ada589e441c,mean_reversion v1,e3b5c1d1-2536-5104-9708-098725de83d2,DASHUSDT,long,2026-07-07,2026-07-07 21:01:00,14400,stop,f,t,35.8100000000,0.3385682550991591361123254093,30,35.7300000000,-0.23628913
