versao,dia,mercado,janela,barra,r_exf,r_net,r_bruto,risco_pct,atr_pct,saida
mean_reversion v1,2026-06-25,ZECUSDT,J1,2026-06-25T03:00:00Z,-1.161720,,-0.930293,0.008602,0.00745450,stop
mean_reversion v1,2026-06-25,ZECUSDT,J1,2026-06-25T04:00:00Z,-1.188358,,-0.918882,0.007392,0.00679660,stop
mean_reversion v1,2026-06-25,DASHUSDT,J1,2026-06-25T10:45:00Z,-1.179661,,-0.922607,0.007748,0.00744075,stop
mean_reversion v1,2026-06-25,UNIUSDT,J1,2026-06-25T11:00:00Z,-1.187667,,-0.919177,0.007419,0.00682365,stop
mean_reversion v1,2026-06-26,DASHUSDT,J1,2026-06-26T02:30:00Z,-1.086702,,-0.962430,0.015960,0.01330948,stop
mean_reversion v1,2026-06-26,ZECUSDT,J1,2026-06-26T02:30:00Z,-1.101087,,-0.956267,0.013711,0.01080835,stop
mean_reversion v1,2026-06-26,ZECUSDT,J1,2026-06-26T08:45:00Z,-1.152519,,-0.934234,0.009118,0.00881396,stop
mean_reversion v1,2026-06-26,SOLUSDT,J1,2026-06-26T12:00:00Z,0.850400,,1.106552,0.007837,0.00637318,target
mean_reversion v1,2026-06-26,UNIUSDT,J1,2026-06-26T21:15:00Z,-1.159165,,-0.931387,0.008740,0.00847938,stop
mean_reversion v1,2026-06-26,ARBUSDT,J1,2026-06-26T21:15:00Z,1.519503,,1.792464,0.007371,0.00798854,target
mean_reversion v1,2026-06-26,NEARUSDT,J1,2026-06-26T21:15:00Z,0.480991,,0.713540,0.008622,0.01189737,expired
mean_reversion v1,2026-06-26,TAOUSDT,J1,2026-06-26T21:30:00Z,-0.324859,,-0.092659,0.008605,0.00745092,expired
mean_reversion v1,2026-06-26,SOLUSDT,J1,2026-06-26T21:30:00Z,-1.148725,,-0.935860,0.009349,0.00889165,stop
mean_reversion v1,2026-06-26,SUIUSDT,J1,2026-06-26T22:15:00Z,0.966040,,1.235107,0.007463,0.00643891,target
mean_reversion v1,2026-06-26,SOLUSDT,J1,2026-06-26T22:45:00Z,0.326565,,0.593080,0.007516,0.00802719,expired
mean_reversion v1,2026-06-26,DASHUSDT,J1,2026-06-26T22:45:00Z,-1.162617,,-0.929909,0.008555,0.00738080,stop
mean_reversion v1,2026-06-27,ZECUSDT,J1,2026-06-27T01:45:00Z,-1.173262,,-0.925348,0.008033,0.00791191,stop
mean_reversion v1,2026-06-27,ZECUSDT,J1,2026-06-27T03:45:00Z,-1.180418,,-0.922283,0.007716,0.00726405,stop
mean_reversion v1,2026-06-27,ZECUSDT,J1,2026-06-27T06:30:00Z,-1.145795,,-0.937115,0.009535,0.00691010,stop
mean_reversion v1,2026-06-27,NEARUSDT,J1,2026-06-27T06:30:00Z,0.483013,,0.690498,0.009666,0.00631732,target
mean_reversion v1,2026-06-27,UNIUSDT,J1,2026-06-27T19:45:00Z,-1.195934,,-0.915636,0.007108,0.00651203,stop
mean_reversion v1,2026-06-27,NEARUSDT,J1,2026-06-27T19:45:00Z,1.146593,,1.313488,0.012071,0.01094345,target
mean_reversion v1,2026-06-28,NEARUSDT,J1,2026-06-28T04:45:00Z,-1.160332,,-0.930888,0.008676,0.00860634,stop
mean_reversion v1,2026-06-28,NEARUSDT,J1,2026-06-28T05:45:00Z,-1.156403,,-0.932570,0.008893,0.00829817,stop
mean_reversion v1,2026-06-28,NEARUSDT,J1,2026-06-28T06:30:00Z,0.989607,,1.172746,0.010984,0.00932237,target
mean_reversion v1,2026-06-29,DASHUSDT,J1,2026-06-29T08:45:00Z,0.993668,,1.270376,0.007257,0.00635619,target
mean_reversion v1,2026-06-29,NEARUSDT,J1,2026-06-29T11:30:00Z,1.698368,,2.037384,0.005932,0.00695947,target
mean_reversion v1,2026-06-29,LINKUSDT,J1,2026-06-29T14:00:00Z,-1.245666,,-0.894331,0.005675,0.00644459,stop
mean_reversion v1,2026-06-29,DASHUSDT,J1,2026-06-29T14:00:00Z,-1.203549,,-0.912374,0.006843,0.00776768,stop
mean_reversion v1,2026-06-29,ARBUSDT,J1,2026-06-29T14:00:00Z,-1.181073,,-0.922002,0.007688,0.00893859,stop
mean_reversion v1,2026-06-29,XRPUSDT,J1,2026-06-29T14:30:00Z,0.791807,,1.028279,0.008489,0.00666003,target
mean_reversion v1,2026-06-29,LINKUSDT,J1,2026-06-29T14:30:00Z,0.808838,,1.039999,0.008686,0.00686040,target
mean_reversion v1,2026-06-29,NEARUSDT,J1,2026-06-29T14:30:00Z,0.957495,,1.113377,0.012915,0.01070155,target
mean_reversion v1,2026-06-29,SOLUSDT,J1,2026-06-29T22:45:00Z,-1.206251,,-0.911216,0.006754,0.00629000,stop
mean_reversion v1,2026-06-30,NEARUSDT,J1,2026-06-30T00:45:00Z,1.307838,,1.556962,0.008074,0.00801833,target
mean_reversion v1,2026-06-30,ZECUSDT,J1,2026-06-30T01:30:00Z,-1.169138,,-0.927115,0.008227,0.00755804,stop
mean_reversion v1,2026-06-30,ZECUSDT,J1,2026-06-30T02:00:00Z,-1.243227,,-0.895376,0.005731,0.00795406,stop
mean_reversion v1,2026-07-01,ZECUSDT,J1,2026-07-01T07:00:00Z,-1.162462,,-0.929975,0.008563,0.00876382,stop
mean_reversion v1,2026-07-01,SOLUSDT,J1,2026-07-01T07:00:00Z,0.993752,,1.277686,0.007071,0.00620819,target
mean_reversion v1,2026-07-01,SUIUSDT,J1,2026-07-01T07:00:00Z,-1.211470,,-0.908980,0.006588,0.00613486,stop
mean_reversion v1,2026-07-01,ARBUSDT,J1,2026-07-01T07:15:00Z,1.194767,,1.512111,0.006329,0.00612076,target
mean_reversion v1,2026-07-01,ZECUSDT,J1,2026-07-01T18:45:00Z,1.253167,,1.501523,0.008097,0.00786397,target
mean_reversion v1,2026-07-01,SAHARAUSDT,J1,2026-07-01T19:45:00Z,-1.191968,,-0.917335,0.007254,0.00665823,stop
mean_reversion v1,2026-07-01,SAHARAUSDT,J1,2026-07-01T20:15:00Z,-1.253571,,-0.890945,0.005499,0.00682472,stop
mean_reversion v1,2026-07-01,TAOUSDT,J1,2026-07-01T20:15:00Z,1.588666,,1.923823,0.005998,0.00676994,target
mean_reversion v1,2026-07-01,SOLUSDT,J1,2026-07-01T20:30:00Z,1.064641,,1.365312,0.006678,0.00608212,target
mean_reversion v1,2026-07-01,ARBUSDT,J1,2026-07-01T20:45:00Z,0.903090,,1.150410,0.008120,0.00675363,target
mean_reversion v1,2026-07-01,SAHARAUSDT,J1,2026-07-01T20:45:00Z,0.666037,,0.882178,0.009286,0.00676813,target
mean_reversion v1,2026-07-02,TAOUSDT,J1,2026-07-02T00:00:00Z,1.288176,,1.586151,0.006744,0.00673643,target
mean_reversion v1,2026-07-02,SAHARAUSDT,J1,2026-07-02T00:45:00Z,0.714209,,0.917560,0.009874,0.00735230,target
mean_reversion v1,2026-07-02,PROMUSDT,J1,2026-07-02T06:45:00Z,-1.232003,,-0.900184,0.006007,0.00631035,stop
mean_reversion v1,2026-07-02,DASHUSDT,J1,2026-07-02T07:15:00Z,1.082378,,1.370819,0.006963,0.00636694,target
mean_reversion v1,2026-07-02,SAHARAUSDT,J1,2026-07-02T09:30:00Z,0.434069,,0.606798,0.011613,0.00725567,target
mean_reversion v1,2026-07-02,ARBUSDT,J1,2026-07-02T14:45:00Z,-1.142713,,-0.938435,0.009740,0.00812357,stop
mean_reversion v1,2026-07-02,SOLUSDT,J1,2026-07-02T15:00:00Z,0.211233,,0.402394,0.010478,0.00865435,expired
mean_reversion v1,2026-07-02,NEARUSDT,J1,2026-07-02T15:00:00Z,1.463082,,1.714292,0.008011,0.00845445,target
mean_reversion v1,2026-07-02,SUIUSDT,J1,2026-07-02T15:15:00Z,-0.502084,,-0.261196,0.008289,0.00729040,expired
mean_reversion v1,2026-07-02,ZECUSDT,J1,2026-07-02T16:00:00Z,-1.116282,,-0.949758,0.011935,0.01041607,stop
mean_reversion v1,2026-07-02,TAOUSDT,J1,2026-07-02T16:45:00Z,1.169687,,1.380704,0.009535,0.00884591,target
mean_reversion v1,2026-07-02,TAOUSDT,J1,2026-07-02T19:15:00Z,-1.185554,,-0.920083,0.007503,0.00761510,stop
mean_reversion v1,2026-07-02,ZECUSDT,J1,2026-07-02T20:15:00Z,-1.133661,,-0.942313,0.010395,0.00838614,stop
mean_reversion v1,2026-07-02,UNIUSDT,J1,2026-07-02T21:30:00Z,-1.127919,,-0.944773,0.010858,0.01026422,stop
mean_reversion v1,2026-07-02,NEARUSDT,J1,2026-07-02T22:00:00Z,1.683353,,2.056923,0.005380,0.00633276,target
mean_reversion v1,2026-07-02,UNIUSDT,J1,2026-07-02T22:45:00Z,1.361596,,1.571244,0.009606,0.00963963,target
mean_reversion v1,2026-07-03,TAOUSDT,J1,2026-07-03T16:00:00Z,-0.635581,,-0.397970,0.008398,0.00655723,expired
mean_reversion v1,2026-07-03,ZECUSDT,J1,2026-07-03T17:00:00Z,1.397710,,1.616275,0.009213,0.00940011,target
mean_reversion v1,2026-07-03,NEARUSDT,J1,2026-07-03T17:00:00Z,-1.134821,,-0.941816,0.010306,0.01020162,stop
mean_reversion v1,2026-07-03,UNIUSDT,J1,2026-07-03T19:15:00Z,0.573589,,0.797661,0.008952,0.00621447,target
mean_reversion v1,2026-07-04,NEARUSDT,J1,2026-07-04T01:45:00Z,-1.151928,,-0.934488,0.009153,0.00757403,stop
mean_reversion v1,2026-07-04,ZECUSDT,J1,2026-07-04T01:45:00Z,1.066644,,1.318862,0.007967,0.00715530,target
mean_reversion v1,2026-07-04,ZECUSDT,J1,2026-07-04T23:00:00Z,-1.187604,,-0.919205,0.007422,0.00625137,stop
mean_reversion v1,2026-07-04,ZECUSDT,J1,2026-07-04T23:30:00Z,-1.183713,,-0.920871,0.007578,0.00623298,stop
mean_reversion v1,2026-07-06,NEARUSDT,J1,2026-07-06T02:15:00Z,-1.122423,,-0.947127,0.011341,0.00877147,stop
mean_reversion v1,2026-07-06,NEARUSDT,J1,2026-07-06T03:45:00Z,-1.130655,,-0.943601,0.010632,0.00854450,stop
mean_reversion v1,2026-07-06,TAOUSDT,J1,2026-07-06T04:15:00Z,-1.203032,,-0.912595,0.006860,0.00626461,stop
mean_reversion v1,2026-07-06,ARBUSDT,J1,2026-07-06T04:45:00Z,-1.206965,,-0.910910,0.006731,0.00601028,stop
mean_reversion v1,2026-07-06,ARBUSDT,J1,2026-07-06T05:45:00Z,-1.219224,,-0.905659,0.006356,0.00626350,stop
mean_reversion v1,2026-07-06,TAOUSDT,J1,2026-07-06T05:45:00Z,-1.187955,,-0.919054,0.007408,0.00639087,stop
mean_reversion v1,2026-07-07,NEARUSDT,J1,2026-07-07T02:45:00Z,-1.149517,,-0.935520,0.009300,0.00773675,stop
mean_reversion v1,2026-07-07,SAHARAUSDT,J1,2026-07-07T03:00:00Z,-1.233967,,-0.899343,0.005957,0.00629566,stop
mean_reversion v1,2026-07-07,PROMUSDT,J1,2026-07-07T20:00:00Z,1.248555,,1.422407,0.011592,0.01099894,target
mean_reversion v1,2026-07-07,ZECUSDT,J1,2026-07-07T20:30:00Z,-1.096661,,-0.958163,0.014333,0.01317967,stop
mean_reversion v1,2026-07-07,DASHUSDT,J1,2026-07-07T21:00:00Z,-1.112976,,-0.951174,0.012281,0.00947574,stop
