versao,coorte,dia_utc,hora_utc,hora_brt,mercado,motivo,r_net,atr_pct,risco_pct,r_bruto,custo_r
mean_reversion v1,replay:d0f77894,2026-08-22,10,7,DOGEUSDT,expired,0.8457086750,0.02097915752194151305783014686,0.01948140860913529263,0.94925812600912611009,0.1035494510267664902650029269
mean_reversion v1,replay:d0f77894,2026-08-22,10,7,SOLUSDT,expired,0.8968620474,0.01462454127873617267709090868,0.01510890277427746251,1.03018489532432929033,0.1333228479588487378213514046
mean_reversion v1,replay:d0f77894,2026-08-22,10,7,XRPUSDT,expired,0.1229391942,0.02828768492902214481403556656,0.02675992815176768302,0.19783077740956961138,0.0748915832302258766353209339
mean_reversion v1,replay:d0f77894,2026-08-23,20,17,XRPUSDT,target,1.2223857659,0.01043695324556198615841905855,0.01109630153071444220,1.40392150659594044455,0.181535740674891219917884063
mean_reversion v1,replay:d0f77894,2026-08-24,0,21,SOLUSDT,target,1.3800136500,0.006853601985165101186687331188,0.00660834396862941109,1.6841636141253534,0.304149964118608538149936916
mean_reversion v1,replay:d0f77894,2026-08-24,17,14,ETHUSDT,stop,-1.2876465005,0.007566785122799852416044565884,0.00484939592677669313,-0.87634744101642204818,0.411299059494295927948604749
mean_reversion v1,replay:d0f77894,2026-08-24,18,15,ETHUSDT,expired,0.1650380896,0.00745962912195987275083889763,0.00904658484978151990,0.38636970149603653356,0.2213316118984143654800294788
mean_reversion v1,replay:d0f77894,2026-08-25,7,4,XRPUSDT,stop,-1.1482030780,0.007599901781820415170464533985,0.00938159098558810875,-0.93608331286328320458,0.212119765136187788714631839
mean_reversion v1,replay:d0f77894,2026-08-25,8,5,SOLUSDT,stop,-1.1306587220,0.009347090149869657204387424262,0.01063174950236634302,-0.94359910231735483962,0.187059619636951069265468070
mean_reversion v1,replay:d0f77894,2026-08-25,9,6,DOGEUSDT,stop,-1.1820574850,0.006723847989727857262978683214,0.00764656979099008082,-0.92158049527292209990,0.260476989774305610392301583
mean_reversion v1,replay:d0f77894,2026-08-25,10,7,SOLUSDT,stop,-1.1600488767,0.008296068218585138240979438934,0.00869153585529317522,-0.93100871631274526004,0.229040160349961636342329365
mean_reversion v1,replay:d0f77894,2026-08-27,13,10,DOGEUSDT,stop,-1.1695986875,0.006592317435981711590948829282,0.00820499846688845332,-0.92691769312445993387,0.242680994352255443705975945
mean_reversion v1,replay:d0f77894,2026-08-27,18,15,DOGEUSDT,target,1.3282381173,0.0071272442197797874958606448,0.00704782163004135635,1.61345665011899664804,0.285218532851715133214599134
mean_reversion v1,replay:d0f77894,2026-08-27,18,15,XRPUSDT,target,0.8578866391,0.008154545188080097008617452765,0.01019146444792124310,1.05506642826580219857,0.1971797891450953877449992153
mean_reversion v1,replay:d0f77894,2026-08-28,2,23,SOLUSDT,stop,-1.2148102003,0.007191159694852003514589674077,0.00648607690843273478,-0.90754962910000831854,0.307260571182783247210297154
mean_reversion v1,replay:d0f77894,2026-08-28,2,23,XRPUSDT,stop,-1.2189853486,0.006737792565519977970417638871,0.00636297615327877500,-0.90576104617939053765,0.313224302405169900353301994
mean_reversion v1,replay:d0f77894,2026-09-03,20,17,DOGEUSDT,stop,-1.1717354185,0.006948836066349886534295787553,0.00810350278451365061,-0.92600234345369371914,0.245733075051463004711180267
mean_reversion v1,replay:d0f77894,2026-09-03,22,19,DOGEUSDT,stop,-1.1738163876,0.006737039519408784837634698336,0.00858084943272719496,-0.93011878129646915317,0.232007500125647198100551273
mean_reversion v1,replay:d0f77894,2026-09-03,22,19,XRPUSDT,stop,-1.1471385881,0.007753423139985408109113110747,0.01012251033746366094,-0.94076170871851872016,0.196520435012362506522497603
mean_reversion v1,replay:d0f77894,2026-09-05,23,20,DOGEUSDT,stop,-1.1846160415,0.008158348093982564598078297069,0.00754116830779602706,-0.92048444068665431310,0.264131600853398066828294294
mean_reversion v1,replay:d0f77894,2026-09-06,0,21,DOGEUSDT,target,1.1245293034,0.007152206150060171754921333083,0.00774755774038914435,1.38390394626161953694,0.259374642872679483266490456
mean_reversion v1,replay:d0f77894,2026-09-06,9,6,DOGEUSDT,stop,-1.1668062716,0.007083860597016040620826960228,0.00834153567925985232,-0.92811393022493383123,0.238692341400672216049017637
mean_reversion v1,replay:d0f77894,2026-09-06,15,12,SOLUSDT,target,0.8220572139,0.00610916784407228883809074106,0.00755314833296948410,1.0985117424546322,0.2657297145364196046665424566
mean_reversion v10,replay:71c76d86,2026-08-12,7,4,DOGEUSDT,expired,-0.0211680719,0.008067381393327405116862825977,0.01364035434547387590,0.13282428256751790344,0.14666862783422753024770017105
mean_reversion v10,replay:71c76d86,2026-08-20,3,0,DOGEUSDT,expired,0.0465012697,0.01182050603225984564079860239,0.02003808788776100584,0.14639770480340185678,0.09989643506949033236598675846
mean_reversion v10,replay:71c76d86,2026-08-20,3,0,SOLUSDT,expired,0.6177561195,0.0125761032316587893318875288,0.02101179652397575040,0.71359709513578406129,0.0958409756007213306671096234
mean_reversion v10,replay:71c76d86,2026-08-20,3,0,XRPUSDT,expired,0.6110538303,0.01289078183545222858396624522,0.02208615847471615625,0.70225607074451647788,0.0912022404579396966030358196
mean_reversion v10,replay:71c76d86,2026-08-20,13,10,ETHUSDT,expired,1.0985634638,0.01739566438474004476616074711,0.02621923015795345887,1.1798781238139158,0.077413744755587408139428657
mean_reversion v10,replay:71c76d86,2026-08-20,13,10,SOLUSDT,expired,0.3545157320,0.0134683528181666880583836319,0.02006690978145838302,0.45959996543560075943,0.1000662921704744708031285867
mean_reversion v10,replay:71c76d86,2026-08-20,19,16,XRPUSDT,expired,0.8880306293,0.02603406219722001088435023498,0.03735993473078073416,0.94247406057809704649,0.0544434312594354876409510641
mean_reversion v10,replay:71c76d86,2026-08-20,21,18,ETHUSDT,expired,0.4351506354,0.01246154317985121562427707677,0.01870489624707683302,0.54740373187156774842,0.1074070321294054595125995989
mean_reversion v10,replay:71c76d86,2026-08-21,11,8,ETHUSDT,expired,0.3677197927,0.01390659055753287866868200641,0.02245410005838307589,0.45719405937585044236,0.0894742666901956677586530212
mean_reversion v10,replay:71c76d86,2026-08-21,11,8,SOLUSDT,expired,0.4518129659,0.01381017148558029851477423235,0.02218209261452959220,0.54246405343025911698,0.0906510875447021291734144755
mean_reversion v10,replay:71c76d86,2026-08-21,12,9,DOGEUSDT,expired,0.3993507958,0.01964390456986448734224512957,0.02852642661507342699,0.47343505198147786809,0.0705417091208277267865453782
mean_reversion v10,replay:71c76d86,2026-08-21,18,15,XRPUSDT,expired,0.2676012644,0.02520518043487785731846926415,0.03880075336440647689,0.31943510501730869331,0.0518338406671625029984574493
mean_reversion v10,replay:71c76d86,2026-08-21,20,17,SOLUSDT,target,1.6494139660,0.01383425776473171619065808507,0.01907391245032594768,1.7559618884099800,0.106547922449123630432642005
mean_reversion v10,replay:71c76d86,2026-08-22,5,2,DOGEUSDT,expired,0.7155182612,0.0257449458677495536119042175,0.02786204642877595628,0.79177035492625718837,0.0725307730945716504434202252
mean_reversion v10,replay:71c76d86,2026-08-22,5,2,ETHUSDT,expired,-0.2076740534,0.01402057721449223522442664638,0.01861807551376913540,-0.09503530910181198199,0.1072630610064881425003406330
mean_reversion v10,replay:71c76d86,2026-08-22,8,5,XRPUSDT,expired,0.0438523547,0.04595225482027951477633718027,0.06765252420165937573,0.07347090983244875746,0.02961855515076948263825597860
mean_reversion v10,replay:71c76d86,2026-08-22,10,7,DOGEUSDT,expired,0.2987125612,0.03713400598338279560534566817,0.05515535133332919392,0.33528723834183919803,0.0365746771244856084163776981
mean_reversion v10,replay:71c76d86,2026-08-22,10,7,SOLUSDT,expired,0.3417148949,0.02572106201308816784165217792,0.03965469950670739672,0.39251245417587288444,0.0507975592416052135884965207
mean_reversion v10,replay:71c76d86,2026-08-23,20,17,SOLUSDT,expired,-0.0619579791,0.01534537971070747810542957486,0.02370904085888462715,0.02660596140659080479,0.08433202261965991666252032742
mean_reversion v10,replay:71c76d86,2026-08-23,20,17,XRPUSDT,expired,0.1468051557,0.02151226863387160362674650872,0.03287233429686051763,0.21090298296697420100,0.0610158046862679317674857498
mean_reversion v10,replay:71c76d86,2026-08-24,3,0,ETHUSDT,expired,0.2142285776,0.01187617250591331896328797389,0.01976531771937288835,0.31567084055495602287,0.1014422629098984643810229209
mean_reversion v10,replay:71c76d86,2026-08-24,17,14,ETHUSDT,expired,0.2153579152,0.01296893309713890333328410881,0.01678069236050830744,0.33480576641332441257,0.1194478511784619240627907645
mean_reversion v10,replay:71c76d86,2026-08-25,7,4,XRPUSDT,expired,-0.5707931551,0.0176386242948040586325381511,0.02820576919385092109,-0.49692611046223263706,0.0703681536437880700017493644
mean_reversion v10,replay:71c76d86,2026-08-25,8,5,SOLUSDT,expired,-0.7550820302,0.01815165488243797172495585231,0.02847268498392743128,-0.68556679207514386658,0.0695152381365474919350750044
mean_reversion v10,replay:71c76d86,2026-08-25,9,6,DOGEUSDT,expired,-0.8880492271,0.01694893834547596732948877192,0.02633154948858452942,-0.81295301806931912808,0.0750962090291481594826609595
mean_reversion v10,replay:71c76d86,2026-08-27,4,1,ETHUSDT,target,1.2507502775,0.00806826637553272202720511562,0.01279691801434898880,1.4132351965839014,0.157606810627312780549028722
mean_reversion v10,replay:71c76d86,2026-08-27,5,2,DOGEUSDT,target,1.3172215678,0.01159767077190954460731651799,0.01812935816873260232,1.43445782371022697008,0.111686263738363441139575155
mean_reversion v10,replay:71c76d86,2026-08-27,5,2,XRPUSDT,expired,0.9899091175,0.01421471608673897637696790404,0.02079182856479273975,1.09110563964712820138,0.0972247991567880718424287552
mean_reversion v10,replay:71c76d86,2026-08-27,13,10,DOGEUSDT,expired,0.9323334077,0.01316899659776759008283942682,0.02130436511596342900,1.03047394433283646336,0.0948514087539882812174834246
mean_reversion v10,replay:71c76d86,2026-08-27,13,10,ETHUSDT,expired,0.6661150946,0.009473525317707104165069314236,0.01558987424573769995,0.79582188093123156045,0.1290071025133970783229965568
mean_reversion v10,replay:71c76d86,2026-08-27,18,15,DOGEUSDT,expired,0.3483020361,0.0127924805251617412328803345,0.01927762644238233213,0.45243936798333377892,0.1041373319180403147004623166
mean_reversion v10,replay:71c76d86,2026-08-27,18,15,ETHUSDT,expired,0.2817438351,0.009229053055952113730621382538,0.01457296309869843518,0.41932120990270518761,0.1375773747540151391426142136
mean_reversion v10,replay:71c76d86,2026-08-27,18,15,XRPUSDT,expired,0.0916216818,0.01315617694187881503886078706,0.02197149127732727137,0.18277687978481312389,0.09115519793795410029297854842
mean_reversion v10,replay:71c76d86,2026-08-28,2,23,DOGEUSDT,expired,0.0396296084,0.01123840188559929224091170938,0.01552153852822057477,0.16857408240912592653,0.12894447396933989248228635196
mean_reversion v10,replay:71c76d86,2026-08-28,2,23,ETHUSDT,expired,0.0556893200,0.008395747887467927035970947001,0.01256356953809813217,0.21499923773532273385,0.15930991770251956034719042213
mean_reversion v10,replay:71c76d86,2026-08-28,2,23,SOLUSDT,expired,0.1872857939,0.01551660611327604871518651731,0.02276416595745604500,0.27536579166900553773,0.0880799978115899647949032940
mean_reversion v10,replay:71c76d86,2026-08-28,2,23,XRPUSDT,expired,-0.4189482012,0.01183863216927417887479544857,0.01758433118328849070,-0.30558429260542128283,0.1133639086424881336674291908
mean_reversion v10,replay:71c76d86,2026-08-31,22,19,XRPUSDT,expired,-0.5167025035,0.01136006922500579350966269538,0.01718824433902810110,-0.39582667472508016217,0.1158930922514195534095850607
mean_reversion v10,replay:71c76d86,2026-08-31,23,20,DOGEUSDT,expired,-0.2263490803,0.008556709617695266100611761089,0.01140216871929238931,-0.04232767056120036194,0.1752577301172910333207612018
mean_reversion v10,replay:71c76d86,2026-08-31,23,20,SOLUSDT,expired,0.1215614970,0.01022451116901238391076788059,0.01595102255667669405,0.24942487936784412409,0.1255579909983444365261132772
mean_reversion v10,replay:71c76d86,2026-09-02,19,16,DOGEUSDT,expired,0.0769092707,0.008753227891191090921042977211,0.01401815468904061902,0.21971551235460325970,0.14280624167827496957006024599
mean_reversion v10,replay:71c76d86,2026-09-03,9,6,SOLUSDT,expired,0.7476478259,0.009734128643004890246376014807,0.01582003859754487051,0.87486861874514635321,0.1272207928422915244557021207
mean_reversion v10,replay:71c76d86,2026-09-03,20,17,DOGEUSDT,expired,-0.7298687234,0.01268248745183791768254130885,0.02029290651887884623,-0.62712521914696540766,0.0978705331618821082304095905
mean_reversion v10,replay:71c76d86,2026-09-03,22,19,ETHUSDT,expired,-0.1339729638,0.008866256229861787196641532845,0.01491697612397664324,0.00643564875309558786,0.1340014678802123557071650682
mean_reversion v10,replay:71c76d86,2026-09-03,22,19,SOLUSDT,expired,-0.5067433701,0.01051542468955856381758305868,0.01757498358470752562,-0.38772790068847644645,0.1133422420517289630706374675
mean_reversion v10,replay:71c76d86,2026-09-03,22,19,XRPUSDT,expired,-0.5106155363,0.01253057966565844504147281713,0.02133118140537957553,-0.41264756667871285926,0.0932906871959518835319520945
mean_reversion v10,replay:71c76d86,2026-09-04,2,23,DOGEUSDT,expired,-0.0398911922,0.0120662245418704485046587044,0.01840327401900637600,0.06878872805389434251,0.10867992029512615602100669677
mean_reversion v10,replay:71c76d86,2026-09-05,23,20,DOGEUSDT,expired,0.3728405981,0.01431356647754984563387250274,0.02086145334028881326,0.47390056533142608767,0.0962868966333944097068395390
mean_reversion v10,replay:71c76d86,2026-09-06,8,5,SOLUSDT,target,1.2570625170,0.008191529598137471626948336996,0.01298399437741978540,1.41241803302131626636,0.155355515984885451099495325
mean_reversion v10,replay:71c76d86,2026-09-06,9,6,DOGEUSDT,expired,-0.2338856116,0.01424258189899150911143146468,0.02279108397030747069,-0.14633091331268896808,0.0875546982515114276183003860
mean_reversion v10,replay:71c76d86,2026-09-06,14,11,SOLUSDT,stop,-1.1187153245,0.008759656245521645401890925488,0.01169242794670433068,-0.94871550899404991098,0.169999815535895072066030631
mean_reversion v10,replay:71c76d86,2026-09-06,16,13,SOLUSDT,expired,-0.3280719853,0.009936810015723528230376243179,0.01530403388689449970,-0.19766346612370752708,0.1304085192143479106880333587
mean_reversion v10,replay:71c76d86,2026-09-06,22,19,SOLUSDT,expired,0.0954288615,0.009140782790288550597553650846,0.01426239191329663507,0.23924575394775233450,0.14038403442525017237248884933
mean_reversion v10,replay:71c76d86,2026-09-07,2,23,DOGEUSDT,expired,0.1438411586,0.0106007008741316133412715101,0.01695299153841028716,0.26200563875435445184,0.1181644801968605567351365007
mean_reversion v2,replay:d570b19a,2026-08-20,19,16,XRPUSDT,target,1.6753530335,0.01741948080326172194446009916,0.01577142933117265524,1.80389203936030722594,0.128539005871319232740924365
mean_reversion v2,replay:d570b19a,2026-08-21,11,8,ETHUSDT,target,1.0052476043,0.008688890374173693118066790199,0.01011330387615589678,1.2040921334104804,0.198844529074784732890038448
mean_reversion v2,replay:d570b19a,2026-08-21,11,8,SOLUSDT,target,1.0649814889,0.009248913444825570987291047095,0.01049924777708212143,1.2566134125474709,0.191631923679280877969049912
mean_reversion v2,replay:d570b19a,2026-08-21,12,9,DOGEUSDT,target,1.6053631043,0.01048124580649304986903512841,0.00952343892892063989,1.81706197274620329151,0.211698868467608925156595073
mean_reversion v2,replay:d570b19a,2026-08-21,18,15,XRPUSDT,stop,-1.0978207788,0.01314623338183249375520913074,0.01416466674901685278,-0.95766647909933371381,0.140154299696409937434963610
mean_reversion v2,replay:d570b19a,2026-08-21,20,17,XRPUSDT,target,1.6883550861,0.0120106895109463363957524398,0.01065659465302127135,1.87779710821175295924,0.189442022081350535777302459
mean_reversion v2,replay:d570b19a,2026-08-22,5,2,DOGEUSDT,expired,0.9224815885,0.03564523392344247034340537683,0.02161105789146356111,1.02078956526222176396,0.0935102657919496822968347790
mean_reversion v2,replay:d570b19a,2026-08-22,5,2,ETHUSDT,stop,-1.1880147026,0.01050922790584598549891946864,0.00740557087963314041,-0.91902849549119663735,0.268986207100692263407972365
mean_reversion v2,replay:d570b19a,2026-08-22,8,5,XRPUSDT,stop,-1.0498866359,0.03116431526144051280803910722,0.02750754845501187351,-0.97820088486434263444,0.071685751002205909998172006
mean_reversion v2,replay:d570b19a,2026-08-22,10,7,DOGEUSDT,expired,0.8457086750,0.02097915752194151305783014686,0.01948140860913529263,0.94925812600912611009,0.1035494510267664902650029269
mean_reversion v2,replay:d570b19a,2026-08-22,10,7,SOLUSDT,expired,0.8968620474,0.01462454127873617267709090868,0.01510890277427746251,1.03018489532432929033,0.1333228479588487378213514046
mean_reversion v2,replay:d570b19a,2026-08-22,10,7,XRPUSDT,expired,0.1229391942,0.02828768492902214481403556656,0.02675992815176768302,0.19783077740956961138,0.0748915832302258766353209339
mean_reversion v2,replay:d570b19a,2026-08-23,20,17,XRPUSDT,target,1.2223857659,0.01043695324556198615841905855,0.01109630153071444220,1.40392150659594044455,0.181535740674891219917884063
mean_reversion v2,replay:d570b19a,2026-08-25,8,5,SOLUSDT,stop,-1.1306587220,0.009347090149869657204387424262,0.01063174950236634302,-0.94359910231735483962,0.187059619636951069265468070
mean_reversion v2,replay:d570b19a,2026-08-25,10,7,SOLUSDT,stop,-1.1600488767,0.008296068218585138240979438934,0.00869153585529317522,-0.93100871631274526004,0.229040160349961636342329365
mean_reversion v2,replay:d570b19a,2026-08-27,18,15,XRPUSDT,target,0.8578866391,0.008154545188080097008617452765,0.01019146444792124310,1.05506642826580219857,0.1971797891450953877449992153
mean_reversion v2,replay:d570b19a,2026-09-05,23,20,DOGEUSDT,stop,-1.1846160415,0.008158348093982564598078297069,0.00754116830779602706,-0.92048444068665431310,0.264131600853398066828294294
mean_reversion v3,replay:f4af4ffe,2026-08-20,19,16,XRPUSDT,target,1.6753530335,0.01741948080326172194446009916,0.01577142933117265524,1.80389203936030722594,0.128539005871319232740924365
mean_reversion v3,replay:f4af4ffe,2026-08-21,12,9,DOGEUSDT,target,1.6053631043,0.01048124580649304986903512841,0.00952343892892063989,1.81706197274620329151,0.211698868467608925156595073
mean_reversion v3,replay:f4af4ffe,2026-08-21,18,15,XRPUSDT,stop,-1.0978207788,0.01314623338183249375520913074,0.01416466674901685278,-0.95766647909933371381,0.140154299696409937434963610
mean_reversion v3,replay:f4af4ffe,2026-08-21,20,17,XRPUSDT,target,1.6883550861,0.0120106895109463363957524398,0.01065659465302127135,1.87779710821175295924,0.189442022081350535777302459
mean_reversion v3,replay:f4af4ffe,2026-08-22,5,2,DOGEUSDT,expired,0.9224815885,0.03564523392344247034340537683,0.02161105789146356111,1.02078956526222176396,0.0935102657919496822968347790
mean_reversion v3,replay:f4af4ffe,2026-08-22,5,2,ETHUSDT,stop,-1.1880147026,0.01050922790584598549891946864,0.00740557087963314041,-0.91902849549119663735,0.268986207100692263407972365
mean_reversion v3,replay:f4af4ffe,2026-08-22,8,5,XRPUSDT,stop,-1.0498866359,0.03116431526144051280803910722,0.02750754845501187351,-0.97820088486434263444,0.071685751002205909998172006
mean_reversion v3,replay:f4af4ffe,2026-08-22,10,7,DOGEUSDT,expired,0.8457086750,0.02097915752194151305783014686,0.01948140860913529263,0.94925812600912611009,0.1035494510267664902650029269
mean_reversion v3,replay:f4af4ffe,2026-08-22,10,7,SOLUSDT,expired,0.8968620474,0.01462454127873617267709090868,0.01510890277427746251,1.03018489532432929033,0.1333228479588487378213514046
mean_reversion v3,replay:f4af4ffe,2026-08-22,10,7,XRPUSDT,expired,0.1229391942,0.02828768492902214481403556656,0.02675992815176768302,0.19783077740956961138,0.0748915832302258766353209339
mean_reversion v3,replay:f4af4ffe,2026-08-23,20,17,XRPUSDT,target,1.2223857659,0.01043695324556198615841905855,0.01109630153071444220,1.40392150659594044455,0.181535740674891219917884063
mean_reversion v4,replay:af24ee08,2026-08-20,19,16,XRPUSDT,expired,1.3543871096,0.01741948080326172194446009916,0.02449577828567302255,1.43742194993843103509,0.083034840316214637137747990
mean_reversion v4,replay:af24ee08,2026-08-21,12,9,DOGEUSDT,expired,0.7713418300,0.01048124580649304986903512841,0.01476913441703317778,0.91443478581773698129,0.1362505636224942139588685494
mean_reversion v4,replay:af24ee08,2026-08-21,18,15,XRPUSDT,expired,0.5008504489,0.01314623338183249375520913074,0.02073100000407859690,0.59786419966578696048,0.0970137507723136736259735845
mean_reversion v4,replay:af24ee08,2026-08-22,5,2,DOGEUSDT,expired,0.5022492617,0.03564523392344247034340537683,0.03969304593386665882,0.55577348300855905199,0.0509120859820875329249345036
mean_reversion v4,replay:af24ee08,2026-08-22,5,2,ETHUSDT,expired,-0.3050085123,0.01050922790584598549891946864,0.01267666656233666152,-0.13957727393326513911,0.1575360336123500158616089555
mean_reversion v4,replay:af24ee08,2026-08-22,8,5,XRPUSDT,stop,-1.0314407507,0.03116431526144051280803910722,0.04314851924389133098,-0.98610287846771542156,0.045337872227171711618926401
mean_reversion v4,replay:af24ee08,2026-08-22,10,7,DOGEUSDT,expired,0.5494239801,0.02097915752194151305783014686,0.02998703525445571504,0.61669602451205982714,0.0672720443880605706137769451
mean_reversion v4,replay:af24ee08,2026-08-22,10,7,SOLUSDT,expired,0.6044631954,0.01462454127873617267709090868,0.02241757906644721798,0.69431955060128899756,0.0898563552036246734557024919
mean_reversion v4,replay:af24ee08,2026-08-22,11,8,XRPUSDT,expired,-0.9201406370,0.02620884222581916910452047065,0.04259096772942532216,-0.87408435654811460539,0.0460562804806656533431198668
mean_reversion v4,replay:af24ee08,2026-08-23,20,17,XRPUSDT,target,1.3106642857,0.01043695324556198615841905855,0.01631130106621192706,1.43463943214772185200,0.123975146486370319835370339
mean_reversion v5,replay:66fa85cb,2026-08-20,19,16,XRPUSDT,expired,0.9986947404,0.01741948080326172194446009916,0.03322012724017338986,1.05992277314551952199,0.0612280327425272390771954331
mean_reversion v5,replay:66fa85cb,2026-08-21,12,9,DOGEUSDT,expired,0.5691805138,0.01048124580649304986903512841,0.02001482990514571566,0.67477017448351765404,0.1005405940532022544109790024
mean_reversion v5,replay:66fa85cb,2026-08-21,18,15,XRPUSDT,expired,0.3803716121,0.01314623338183249375520913074,0.02729733325914034102,0.45404884821705853762,0.0736772361081491243328670873
mean_reversion v5,replay:66fa85cb,2026-08-22,5,2,DOGEUSDT,expired,0.3450591309,0.03564523392344247034340537683,0.05777503397626975654,0.38183175104569831820,0.0349780108879902343590039977
mean_reversion v5,replay:66fa85cb,2026-08-22,5,2,ETHUSDT,expired,-0.2154302668,0.01050922790584598549891946864,0.01794776224504018264,-0.09858468912027674978,0.1112691232695984908743197204
mean_reversion v5,replay:66fa85cb,2026-08-22,8,5,XRPUSDT,expired,0.0504634839,0.03116431526144051280803910722,0.05878949009904402186,0.08454729743673178621,0.03408381354864308926807642466
mean_reversion v5,replay:66fa85cb,2026-08-22,10,7,DOGEUSDT,expired,0.4068785786,0.02097915752194151305783014686,0.04049266077899520241,0.45669721555859466794,0.0498186369553297533852811691
mean_reversion v5,replay:66fa85cb,2026-08-22,10,7,SOLUSDT,expired,0.4558462313,0.01462454127873617267709090868,0.02972625535753607321,0.52360996148943237571,0.0677637301830332824934551594
mean_reversion v5,replay:66fa85cb,2026-08-23,20,17,XRPUSDT,target,1.3561697826,0.01043695324556198615841905855,0.02152630060170941192,1.45047379700051467265,0.094304014354226659830613931
mean_reversion v6,replay:9d99748b,2026-08-20,19,16,XRPUSDT,expired,1.3543871096,0.01741948080326172194446009916,0.02449577828567302255,1.43742194993843103509,0.083034840316214637137747990
mean_reversion v6,replay:9d99748b,2026-08-21,11,8,ETHUSDT,expired,0.5713464543,0.008688890374173693118066790199,0.01445150653619312891,0.71036754054764151524,0.1390210862708671479861500833
mean_reversion v6,replay:9d99748b,2026-08-21,11,8,SOLUSDT,expired,0.6629345345,0.009248913444825570987291047095,0.01511786840410941770,0.79594474244611544824,0.1330102079058856009107963439
mean_reversion v6,replay:9d99748b,2026-08-21,12,9,DOGEUSDT,expired,0.7713418300,0.01048124580649304986903512841,0.01476913441703317778,0.91443478581773698129,0.1362505636224942139588685494
mean_reversion v6,replay:9d99748b,2026-08-21,18,15,XRPUSDT,expired,0.5008504489,0.01314623338183249375520913074,0.02073100000407859690,0.59786419966578696048,0.0970137507723136736259735845
mean_reversion v6,replay:9d99748b,2026-08-22,5,2,DOGEUSDT,expired,0.5022492617,0.03564523392344247034340537683,0.03969304593386665882,0.55577348300855905199,0.0509120859820875329249345036
mean_reversion v6,replay:9d99748b,2026-08-22,5,2,ETHUSDT,expired,-0.3050085123,0.01050922790584598549891946864,0.01267666656233666152,-0.13957727393326513911,0.1575360336123500158616089555
mean_reversion v6,replay:9d99748b,2026-08-22,8,5,XRPUSDT,stop,-1.0314407507,0.03116431526144051280803910722,0.04314851924389133098,-0.98610287846771542156,0.045337872227171711618926401
mean_reversion v6,replay:9d99748b,2026-08-22,10,7,DOGEUSDT,expired,0.5494239801,0.02097915752194151305783014686,0.02998703525445571504,0.61669602451205982714,0.0672720443880605706137769451
mean_reversion v6,replay:9d99748b,2026-08-22,10,7,SOLUSDT,expired,0.6044631954,0.01462454127873617267709090868,0.02241757906644721798,0.69431955060128899756,0.0898563552036246734557024919
