symbol,tf,ts,n_linhas,dist_sup,dist_res
ARBUSDT,15m,2026-08-10T09:45:00+00:00,4,0.387971,1.182308
ARBUSDT,15m,2026-08-10T10:00:00+00:00,4,1.091331,1.808686
ARBUSDT,15m,2026-08-10T10:15:00+00:00,4,1.297285,1.967427
ARBUSDT,15m,2026-08-10T10:30:00+00:00,4,1.553546,2.250124
ARBUSDT,15m,2026-08-10T10:45:00+00:00,4,1.726790,2.083324
ARBUSDT,15m,2026-08-10T11:00:00+00:00,4,0.800170,2.289520
ARBUSDT,15m,2026-08-10T11:15:00+00:00,4,1.710087,1.457628
ARBUSDT,15m,2026-08-10T11:30:00+00:00,4,1.171381,1.270498
ARBUSDT,15m,2026-08-10T11:45:00+00:00,4,1.383437,0.763508
ARBUSDT,15m,2026-08-10T12:00:00+00:00,4,1.140553,0.259814
ARBUSDT,15m,2026-08-10T12:15:00+00:00,4,1.854877,1.010558
ARBUSDT,15m,2026-08-10T12:30:00+00:00,3,2.111734,0.311790
ARBUSDT,15m,2026-08-10T12:45:00+00:00,3,1.537603,0.190364
ARBUSDT,15m,2026-08-10T13:00:00+00:00,4,1.148522,0.595530
ARBUSDT,15m,2026-08-10T13:15:00+00:00,4,0.479936,1.304448
ARBUSDT,15m,2026-08-10T13:30:00+00:00,3,1.389635,0.718503
ARBUSDT,15m,2026-08-10T13:45:00+00:00,3,1.436617,0.538620
ARBUSDT,15m,2026-08-10T14:00:00+00:00,4,1.108196,0.419142
ARBUSDT,15m,2026-08-10T14:15:00+00:00,4,1.527095,0.450145
ARBUSDT,15m,2026-08-10T14:30:00+00:00,4,1.553250,0.719905
ARBUSDT,15m,2026-08-10T14:45:00+00:00,4,0.815791,0.011870
ARBUSDT,15m,2026-08-10T15:00:00+00:00,4,0.227779,0.113889
ARBUSDT,15m,2026-08-10T15:15:00+00:00,4,0.374014,0.260413
ARBUSDT,15m,2026-08-10T15:30:00+00:00,4,0.641273,0.273440
ARBUSDT,15m,2026-08-10T15:45:00+00:00,5,0.210810,0.034774
ARBUSDT,15m,2026-08-10T16:00:00+00:00,5,0.055360,0.353417
ARBUSDT,15m,2026-08-10T16:15:00+00:00,5,0.352198,0.056175
ARBUSDT,15m,2026-08-10T16:30:00+00:00,5,0.104399,0.347731
ARBUSDT,15m,2026-08-10T16:45:00+00:00,5,0.011667,0.310150
ARBUSDT,15m,2026-08-10T17:00:00+00:00,5,0.361407,0.741379
ARBUSDT,15m,2026-08-10T17:15:00+00:00,5,1.174532,0.735347
ARBUSDT,15m,2026-08-10T17:30:00+00:00,6,1.340824,0.798942
ARBUSDT,15m,2026-08-10T17:45:00+00:00,6,0.478417,1.012214
ARBUSDT,15m,2026-08-10T18:00:00+00:00,6,0.708717,0.925094
ARBUSDT,15m,2026-08-10T18:15:00+00:00,6,0.032077,0.720935
ARBUSDT,15m,2026-08-10T18:30:00+00:00,6,0.244905,1.563617
ARBUSDT,15m,2026-08-10T18:45:00+00:00,6,0.358073,1.799265
ARBUSDT,15m,2026-08-10T19:00:00+00:00,6,0.496481,1.013710
ARBUSDT,15m,2026-08-10T19:15:00+00:00,6,0.353748,0.278797
ARBUSDT,15m,2026-08-10T19:30:00+00:00,6,0.852139,0.266284
ARBUSDT,15m,2026-08-10T19:45:00+00:00,6,0.539199,0.295713
ARBUSDT,15m,2026-08-10T20:00:00+00:00,6,0.143748,0.791150
ARBUSDT,15m,2026-08-10T20:15:00+00:00,6,0.092003,0.822842
ARBUSDT,15m,2026-08-10T20:30:00+00:00,6,0.112899,0.917939
ARBUSDT,15m,2026-08-10T20:45:00+00:00,6,0.079131,1.146138
ARBUSDT,15m,2026-08-10T21:00:00+00:00,6,0.201465,1.267553
ARBUSDT,15m,2026-08-10T21:15:00+00:00,6,0.202965,2.639360
ARBUSDT,15m,2026-08-10T21:30:00+00:00,6,0.013630,2.426245
ARBUSDT,15m,2026-08-10T21:45:00+00:00,6,0.677403,3.358856
ARBUSDT,15m,2026-08-10T22:00:00+00:00,6,1.242705,3.152959
ARBUSDT,15m,2026-08-10T22:15:00+00:00,6,0.311770,3.124743
ARBUSDT,15m,2026-08-10T22:30:00+00:00,6,0.633936,3.553306
