corridas 32 | barras usaveis 58224 | ocorrencias 10867
sinais declarados: 14 padroes
rotulos medidos: 108 (18 x 2 tf x 3 horizontes) | raros (n < 30 ou dias < 10): 36 | familia de Holm: 72
padrao             tf   h      n  dias     bruto     delta  IC95 baixo  IC95 alto        p     Holm   Holm/h
a_engolfo_baixa    1h  16    295    31    0.0914    0.0890     -0.3687     0.5429   0.7062    1.000    1.000
a_harami_alta      1h   1     31    31   -0.0616   -0.0615     -0.2975     0.1826   0.6216    1.000    1.000
a_harami_alta      1h   4     31    31    0.1218    0.1215     -0.2258     0.4595   0.4454    1.000    1.000
a_harami_alta      1h  16     31    31   -0.2361   -0.2355     -1.4797     0.8607   0.6812    1.000    1.000
a_harami_baixa     1h   1     39    31   -0.0317   -0.0316     -0.2867     0.2927   0.8254    1.000    1.000
a_harami_baixa     1h   4     39    31   -0.2290   -0.2282     -0.9072     0.5394   0.5780    1.000    1.000
a_harami_baixa     1h  16     39    31   -0.7529   -0.7503     -2.1208     0.6262   0.2674    1.000    1.000
a_estrela_manha    1h   1      1    31    0.0544    0.0544      0.0062     0.0999   0.0348     raro     raro
a_estrela_manha    1h   4      1    31    0.9700    0.9700      0.7644     1.1506   0.0002     raro     raro
a_estrela_manha    1h  16      1    31   -1.1679   -1.1678     -2.0320    -0.4525   0.0003     raro     raro
a_estrela_noite    1h   1      7    31    0.0192    0.0192     -0.3432     0.2701   0.8763     raro     raro
a_estrela_noite    1h   4      7    31    0.4388    0.4385     -0.8585     2.6398   0.6891     raro     raro
a_estrela_noite    1h  16      7    31    0.2643    0.2642     -1.4059     1.9602   0.7270     raro     raro
a_tres_soldados    1h   1      3    31   -0.1201   -0.1201     -0.5020     0.1038   0.6636     raro     raro
a_tres_soldados    1h   4      3    31    0.3929    0.3928     -1.7571     2.3750   0.6592     raro     raro
a_tres_soldados    1h  16      3    31   -2.5250   -2.5244     -3.7647    -1.4695   0.0001     raro     raro
a_tres_corvos      1h   1      0     0       nan       nan         nan        nan   1.0000     raro     raro
a_tres_corvos      1h   4      0     0       nan       nan         nan        nan   1.0000     raro     raro
a_tres_corvos      1h  16      0     0       nan       nan         nan        nan   1.0000     raro     raro
a_tres_dentro_alta   1h   1      1    31   -0.3093   -0.3093     -0.3582    -0.2635   0.0002     raro     raro
a_tres_dentro_alta   1h   4      1    31   -0.1455   -0.1455     -0.3567     0.0350   0.1390     raro     raro
a_tres_dentro_alta   1h  16      1    31   -2.0243   -2.0242     -2.9425    -1.3183   0.0002     raro     raro
a_tres_dentro_baixa   1h   1      2    31    0.0120    0.0120     -0.0701     0.0971   0.7759     raro     raro
a_tres_dentro_baixa   1h   4      2    31   -0.8351   -0.8350     -1.1610    -0.5044   0.0001     raro     raro
a_tres_dentro_baixa   1h  16      2    31   -2.9666   -2.9661     -5.5871    -0.3285   0.0127     raro     raro
sobrevivem a Holm(m=72) com alfa 0,05: ['a_doji_baixa|15m|h1', 'a_marubozu_baixa|1h|h1']
sobrevivem a Holm por horizonte: ['a_doji_baixa|15m|h1', 'a_marubozu_baixa|1h|h1']
