symbol,cohort,entry_ts,exit_ts,motivo,interval_s,updated_at
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-07T20:01:00.000,2026-07-07T21:01:00.000,funding_schedule_unknown,"",2026-09-10T04:00:48
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-08T01:16:00.000,2026-07-08T02:46:00.000,funding_schedule_unknown,"",2026-09-10T04:00:49
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-08T01:16:00.000,2026-07-08T05:15:00.000,funding_schedule_unknown,"",2026-09-10T02:38:17
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-08T01:16:00.000,2026-07-08T02:46:00.000,funding_schedule_unknown,"",2026-09-10T03:17:52
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-09T04:31:00.000,2026-07-09T07:04:00.000,funding_schedule_unknown,"",2026-09-10T03:17:57
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-09T04:31:00.000,2026-07-09T07:33:00.000,funding_schedule_unknown,"",2026-09-10T02:38:21
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-10T09:46:00.000,2026-07-10T13:46:00.000,funding_schedule_unknown,"",2026-09-10T03:18:01
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-10T09:46:00.000,2026-07-10T13:46:00.000,funding_schedule_unknown,"",2026-09-10T02:38:25
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-10T09:46:00.000,2026-07-10T13:46:00.000,funding_schedule_unknown,"",2026-09-10T04:00:58
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-10T14:31:00.000,2026-07-10T14:33:00.000,funding_schedule_unknown,"",2026-09-10T03:18:01
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-10T14:31:00.000,2026-07-10T18:31:00.000,funding_schedule_unknown,"",2026-09-10T02:38:26
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-10T14:46:00.000,2026-07-10T15:37:00.000,funding_schedule_unknown,"",2026-09-10T04:00:58
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-11T01:31:00.000,2026-07-11T05:31:00.000,funding_schedule_unknown,"",2026-09-10T02:38:27
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-11T22:16:00.000,2026-07-11T23:26:00.000,funding_schedule_unknown,"",2026-09-10T02:38:30
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-11T23:46:00.000,2026-07-12T03:46:00.000,funding_schedule_unknown,"",2026-09-10T02:38:32
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-12T00:31:00.000,2026-07-12T00:47:00.000,funding_schedule_unknown,"",2026-09-10T03:30:24
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-16T18:46:00.000,2026-07-16T22:46:00.000,funding_schedule_unknown,"",2026-09-10T02:50:10
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-16T18:46:00.000,2026-07-16T19:05:00.000,funding_schedule_unknown,"",2026-09-10T03:30:41
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-17T14:46:00.000,2026-07-17T18:46:00.000,funding_schedule_unknown,"",2026-09-10T02:50:13
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-20T03:31:00.000,2026-07-20T07:31:00.000,funding_schedule_unknown,"",2026-09-10T02:50:21
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-20T03:31:00.000,2026-07-20T04:26:00.000,funding_schedule_unknown,"",2026-09-10T03:30:53
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-20T03:31:00.000,2026-07-20T04:26:00.000,funding_schedule_unknown,"",2026-09-10T04:13:02
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-20T23:01:00.000,2026-07-21T00:25:00.000,funding_schedule_unknown,"",2026-09-10T04:13:05
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-20T23:01:00.000,2026-07-21T00:25:00.000,funding_schedule_unknown,"",2026-09-10T03:30:56
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-22T16:46:00.000,2026-07-22T20:46:00.000,funding_schedule_unknown,"",2026-09-10T03:31:03
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-22T16:46:00.000,2026-07-22T20:46:00.000,funding_schedule_unknown,"",2026-09-10T04:13:11
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-23T00:46:00.000,2026-07-23T04:23:00.000,funding_schedule_unknown,"",2026-09-10T02:50:30
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-23T00:46:00.000,2026-07-23T01:04:00.000,funding_schedule_unknown,"",2026-09-10T03:31:03
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-23T00:46:00.000,2026-07-23T01:04:00.000,funding_schedule_unknown,"",2026-09-10T04:13:12
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-23T11:16:00.000,2026-07-23T14:11:00.000,funding_schedule_unknown,"",2026-09-10T04:13:14
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-23T11:16:00.000,2026-07-23T15:16:00.000,funding_schedule_unknown,"",2026-09-10T02:50:32
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-23T11:16:00.000,2026-07-23T14:11:00.000,funding_schedule_unknown,"",2026-09-10T03:31:05
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-25T00:16:00.000,2026-07-25T01:04:00.000,funding_schedule_unknown,"",2026-09-10T03:31:10
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-25T00:16:00.000,2026-07-25T01:04:00.000,funding_schedule_unknown,"",2026-09-10T04:13:18
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-25T15:16:00.000,2026-07-25T19:16:00.000,funding_schedule_unknown,"",2026-09-10T04:13:21
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-25T15:16:00.000,2026-07-25T19:16:00.000,funding_schedule_unknown,"",2026-09-10T03:31:13
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-27T00:46:00.000,2026-07-27T02:15:00.000,funding_schedule_unknown,"",2026-09-10T02:50:43
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-27T00:46:00.000,2026-07-27T00:54:00.000,funding_schedule_unknown,"",2026-09-10T03:31:17
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-27T00:46:00.000,2026-07-27T00:54:00.000,funding_schedule_unknown,"",2026-09-10T04:13:25
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-29T05:01:00.000,2026-07-29T05:17:00.000,funding_schedule_unknown,"",2026-09-10T03:31:25
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-29T05:01:00.000,2026-07-29T05:17:00.000,funding_schedule_unknown,"",2026-09-10T04:13:33
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-07-29T05:01:00.000,2026-07-29T09:01:00.000,funding_schedule_unknown,"",2026-09-10T02:50:50
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-07-29T05:46:00.000,2026-07-29T05:55:00.000,funding_schedule_unknown,"",2026-09-10T03:31:25
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-07-29T05:46:00.000,2026-07-29T05:55:00.000,funding_schedule_unknown,"",2026-09-10T04:13:33
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-02T05:46:00.000,2026-08-02T06:17:00.000,funding_schedule_unknown,"",2026-09-10T03:31:39
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-02T05:46:00.000,2026-08-02T06:17:00.000,funding_schedule_unknown,"",2026-09-10T04:13:45
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-02T05:46:00.000,2026-08-02T09:12:00.000,funding_schedule_unknown,"",2026-09-10T02:51:02
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-02T06:46:00.000,2026-08-02T07:48:00.000,funding_schedule_unknown,"",2026-09-10T04:13:45
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-02T06:46:00.000,2026-08-02T07:48:00.000,funding_schedule_unknown,"",2026-09-10T03:31:40
PROMUSDT,replay:da706026-319a-451e-950e-7728ca9ae563,2026-08-03T09:31:00.000,2026-08-03T12:37:00.000,funding_schedule_unknown,"",2026-09-10T04:13:49
PROMUSDT,replay:c7d138eb-a633-4457-a4fa-aa82a5df95e3,2026-08-03T09:31:00.000,2026-08-03T13:31:00.000,funding_schedule_unknown,"",2026-09-10T02:51:06
PROMUSDT,replay:fa005985-0b55-4820-904c-8ada589e441c,2026-08-03T09:31:00.000,2026-08-03T12:37:00.000,funding_schedule_unknown,"",2026-09-10T03:31:44
