symbol,tipo,hora_brt,n_min,qv_p10,qv_p50,qv_p90,n_ref,ref_p10,ref_p50,ref_p90
DASHUSDT,perpetual,7,1800,1037.55,16274.03,127939.19,1800,796.49,11966.88,77273.93
DASHUSDT,perpetual,8,1800,743.97,15371.59,109714.40,1800,631.54,11590.75,66198.52
DASHUSDT,perpetual,9,1800,1266.00,17795.41,143197.41,1800,866.80,12889.70,81776.90
DASHUSDT,perpetual,10,1800,1373.80,21883.25,177763.73,1800,1166.06,15105.59,102439.89
DASHUSDT,perpetual,11,1800,2104.12,25608.34,180561.26,1800,1379.02,18865.01,121468.51
DASHUSDT,perpetual,12,1800,1984.52,26571.03,189667.71,1800,1480.16,18839.49,119682.17
DASHUSDT,perpetual,13,1800,2054.79,29292.89,191318.43,1800,1617.63,21612.89,119425.57
DASHUSDT,perpetual,14,1800,1494.98,21589.46,166786.22,1800,1234.24,17622.34,108383.45
DASHUSDT,perpetual,15,1800,1012.37,17729.11,146676.81,1800,931.86,12604.26,100620.97
DASHUSDT,perpetual,16,1800,804.34,12685.49,100101.62,1800,675.19,9499.47,68811.95
DASHUSDT,perpetual,17,1800,717.55,13322.61,105672.10,1800,576.68,8596.49,59534.60
DASHUSDT,perpetual,18,1800,1013.63,14301.93,114899.02,1800,798.83,10716.95,67718.04
DASHUSDT,perpetual,19,1800,909.92,12562.34,122276.57,1800,751.76,9407.15,78449.53
DASHUSDT,perpetual,20,1800,1289.20,14241.69,130515.47,1800,906.14,9152.78,70690.93
DASHUSDT,perpetual,21,1800,1933.84,19745.94,135874.07,1800,1529.90,12899.23,82721.55
DASHUSDT,perpetual,22,1800,1592.67,17895.21,150915.41,1800,1361.10,12021.70,86651.91
DASHUSDT,perpetual,23,1800,1691.92,18719.54,187624.62,1800,1405.39,14236.08,112618.13
DOGEUSDT,perpetual,0,1800,33288.33,133663.85,566616.14,1800,30827.47,101229.97,346000.18
DOGEUSDT,perpetual,1,1800,25163.90,126143.61,602907.67,1800,23399.62,88751.34,299061.28
DOGEUSDT,perpetual,2,1800,26283.85,135352.50,657212.77,1800,24418.12,99596.40,292242.01
DOGEUSDT,perpetual,3,1800,35767.89,147243.29,608730.32,1800,29923.28,106678.43,305642.19
DOGEUSDT,perpetual,4,1800,32102.06,134504.99,666939.12,1800,28818.81,98119.12,335106.90
DOGEUSDT,perpetual,5,1800,38583.57,173057.67,837834.34,1771,34884.70,110206.87,463420.75
DOGEUSDT,perpetual,6,1800,31605.01,170269.60,787300.58,1800,27706.60,127049.66,427556.91
DOGEUSDT,perpetual,7,1800,29319.88,153972.12,676365.97,1800,26107.26,116483.38,392939.43
DOGEUSDT,perpetual,8,1800,26169.75,137413.05,561659.64,1800,21589.46,104442.04,276658.73
DOGEUSDT,perpetual,9,1800,38600.74,189025.73,824069.03,1800,31620.74,135083.00,359386.51
DOGEUSDT,perpetual,10,1800,50778.18,247813.67,988859.84,1800,40283.31,188480.55,512777.55
DOGEUSDT,perpetual,11,1800,62597.54,295921.36,1058011.77,1800,50949.78,246621.22,542977.04
DOGEUSDT,perpetual,12,1800,63479.01,254161.69,1068681.90,1800,52898.91,206738.39,625794.19
DOGEUSDT,perpetual,13,1800,58759.80,230070.87,888325.42,1800,53965.23,171477.32,490096.50
DOGEUSDT,perpetual,14,1800,40910.32,188303.94,751344.82,1800,36113.10,146515.58,445729.89
DOGEUSDT,perpetual,15,1800,36178.85,161466.70,728632.09,1800,32379.41,127869.79,389206.66
DOGEUSDT,perpetual,16,1800,31775.82,125646.89,487425.19,1800,26443.62,99288.87,249254.53
DOGEUSDT,perpetual,17,1800,24492.60,125662.48,670139.17,1800,21156.04,95036.27,306957.85
DOGEUSDT,perpetual,18,1800,19992.29,130483.20,733774.59,1800,16940.95,87976.93,339388.01
DOGEUSDT,perpetual,19,1800,24489.49,161678.48,848198.71,1800,23026.33,113286.83,392865.62
DOGEUSDT,perpetual,20,1800,32223.55,138011.92,593715.76,1800,28215.73,95097.11,269924.96
DOGEUSDT,perpetual,21,1800,41068.00,192197.13,706879.82,1800,38863.81,136117.07,349995.13
DOGEUSDT,perpetual,22,1800,44368.58,184847.24,661617.75,1800,40118.75,133030.70,376731.24
DOGEUSDT,perpetual,23,1800,38769.28,162756.42,671039.37,1800,36717.44,118311.33,365924.16
DOGEUSDT,spot,0,240,4559.00,18068.56,99570.14,240,4559.00,12475.13,26835.75
DOGEUSDT,spot,1,289,4485.33,16119.47,111268.04,260,4422.39,12898.78,23620.08
DOGEUSDT,spot,2,300,4052.57,18635.33,112873.82,300,4052.57,15083.12,32594.45
DOGEUSDT,spot,3,300,3882.08,17598.64,88605.07,300,3882.08,12299.90,38506.12
DOGEUSDT,spot,4,300,3763.32,19858.24,100972.38,300,3048.56,12774.79,33053.21
DOGEUSDT,spot,5,248,6402.60,23208.90,142625.20,248,6402.60,17878.30,33725.88
DOGEUSDT,spot,6,240,6396.21,28452.80,123391.55,240,6396.21,18340.79,35643.17
DOGEUSDT,spot,7,240,5246.04,18326.29,126266.52,240,5246.04,15780.07,27385.33
DOGEUSDT,spot,8,240,5364.34,17835.34,104594.69,240,5364.34,14196.00,26114.63
DOGEUSDT,spot,9,240,6118.99,33857.84,182980.35,240,6118.99,20880.80,45954.92
DOGEUSDT,spot,10,240,9685.45,44400.77,189810.23,240,9685.45,32076.50,83367.06
DOGEUSDT,spot,11,240,13214.20,42706.36,177288.70,240,13214.20,34186.67,58626.89
DOGEUSDT,spot,12,240,11155.18,46350.86,231078.53,240,11155.18,28415.65,74272.68
DOGEUSDT,spot,13,240,7229.04,31336.49,173020.54,240,7229.04,25718.79,52655.39
DOGEUSDT,spot,14,240,5355.01,18986.46,81530.48,240,5355.01,15043.34,26277.74
DOGEUSDT,spot,15,240,3250.55,16532.27,61972.52,240,3250.55,12730.07,21135.82
DOGEUSDT,spot,16,240,3706.28,15475.62,117906.08,240,3706.28,11882.57,20749.10
DOGEUSDT,spot,17,240,3464.27,16835.82,122033.85,240,3464.27,12226.45,43417.59
DOGEUSDT,spot,18,240,2921.61,13351.50,63794.89,240,2921.61,9364.30,20741.98
DOGEUSDT,spot,19,240,4500.55,16325.30,90178.28,240,4500.55,10163.07,31757.37
DOGEUSDT,spot,20,240,5405.76,18621.01,92242.41,240,5405.76,12805.62,25033.63
DOGEUSDT,spot,21,240,6755.09,25852.66,131271.14,240,6755.09,18119.88,38803.18
DOGEUSDT,spot,22,240,8707.21,30262.79,105473.89,240,8707.21,20957.45,46368.38
DOGEUSDT,spot,23,240,4072.99,16232.65,70007.12,240,4072.99,12791.01,23968.13
ETHUSDT,perpetual,0,1800,654704.37,2626286.00,8246699.35,1800,553626.53,2031206.99,5132084.34
ETHUSDT,perpetual,1,1800,533132.84,2143373.03,8175878.24,1800,477648.23,1618055.02,3859631.31
ETHUSDT,perpetual,2,1800,595688.77,2735068.69,11785078.25,1800,481335.81,2079459.85,5714332.21
ETHUSDT,perpetual,3,1800,710312.28,2700948.72,9021864.41,1800,579105.28,2064408.14,4776963.40
ETHUSDT,perpetual,4,1800,650385.30,2507504.99,9276188.91,1800,599372.29,1976832.41,5310885.27
ETHUSDT,perpetual,5,1800,675321.46,3002222.67,16158404.66,1771,587779.94,2162244.27,7844402.83
ETHUSDT,perpetual,6,1800,710678.20,2840946.16,14086615.40,1800,642844.00,2141633.35,8891259.76
ETHUSDT,perpetual,7,1800,569039.02,2596200.37,11555606.29,1800,525434.99,1965632.37,6882876.59
ETHUSDT,perpetual,8,1800,541801.30,2505837.00,10599163.67,1800,456398.78,1912900.44,5573011.53
ETHUSDT,perpetual,9,1800,663830.12,3417561.72,17041339.91,1800,520160.00,2431748.66,7869244.07
ETHUSDT,perpetual,10,1800,1100171.86,5410713.41,22676224.37,1800,894527.55,3812746.25,11490358.95
ETHUSDT,perpetual,11,1800,1178257.00,6106470.41,22876059.27,1800,773027.39,5077114.89,11932834.20
ETHUSDT,perpetual,12,1800,1179319.77,5063610.24,24106717.65,1800,860550.81,4078699.68,12047239.11
ETHUSDT,perpetual,13,1800,1274353.02,4359165.67,18262372.41,1800,1115572.81,3236840.99,10599527.97
ETHUSDT,perpetual,14,1800,981559.79,3481886.39,12993056.70,1800,916763.10,2715036.39,8122765.62
ETHUSDT,perpetual,15,1800,691805.62,2461390.72,11570370.36,1800,645881.84,1867693.22,6327433.94
ETHUSDT,perpetual,16,1800,625674.49,2272350.17,8090713.33,1800,558346.44,1613096.85,4371354.83
ETHUSDT,perpetual,17,1800,468241.01,1713623.57,7144648.25,1800,422617.21,1363173.95,3736110.66
ETHUSDT,perpetual,18,1800,380100.16,1748195.80,12281708.05,1800,346871.22,1280403.99,5441513.53
ETHUSDT,perpetual,19,1800,479063.26,2111657.68,10326333.29,1800,448434.25,1678834.27,4836775.02
ETHUSDT,perpetual,20,1800,527407.39,2036600.48,8716253.59,1800,450216.89,1396558.55,4546028.70
ETHUSDT,perpetual,21,1800,719579.02,2616290.80,10139772.59,1800,633212.30,1863209.12,5815069.86
ETHUSDT,perpetual,22,1800,680379.18,2859776.26,10981098.17,1800,609077.34,2177955.45,5753569.09
ETHUSDT,perpetual,23,1800,661722.64,2668181.17,10306197.34,1800,611117.88,2018831.26,5410042.93
ETHUSDT,spot,0,240,74580.07,286270.11,683733.39,240,74580.07,197164.71,408723.04
ETHUSDT,spot,1,289,90081.63,302552.66,999872.18,260,75423.21,207474.04,500034.58
ETHUSDT,spot,2,300,89612.40,278043.59,796208.26,300,79230.21,245045.44,368102.71
ETHUSDT,spot,3,300,74608.19,239738.32,725664.69,300,74608.19,184350.66,364284.08
ETHUSDT,spot,4,300,147266.74,410721.84,1090940.65,300,107960.07,321691.62,556940.23
ETHUSDT,spot,5,248,94066.44,247908.68,849282.02,248,94066.44,227382.22,438714.04
ETHUSDT,spot,6,240,104401.54,278392.77,827792.65,240,104401.54,196286.66,323041.65
ETHUSDT,spot,7,240,66787.71,293102.10,877392.33,240,66787.71,218892.00,495840.41
ETHUSDT,spot,8,240,96262.78,314681.65,763221.63,240,92827.56,244909.38,400301.90
ETHUSDT,spot,9,240,125319.69,368603.04,2283505.38,240,125319.69,268978.90,522855.28
ETHUSDT,spot,10,240,177179.70,703827.16,2867132.25,240,158601.53,387432.70,1792658.67
ETHUSDT,spot,11,240,245142.59,587324.66,1718654.46,240,235192.73,522758.32,1136465.04
ETHUSDT,spot,12,240,225430.52,571322.71,1605939.62,240,225430.52,423021.97,773166.36
ETHUSDT,spot,13,240,145116.08,307426.87,1218704.56,240,145116.08,263978.60,651482.30
ETHUSDT,spot,14,240,124615.08,320738.11,977430.49,240,124615.08,235335.19,387931.63
ETHUSDT,spot,15,240,78623.64,279336.61,881098.05,240,78623.64,202101.97,409985.42
ETHUSDT,spot,16,240,140431.12,355404.19,980556.09,240,140431.12,260323.03,438377.23
ETHUSDT,spot,17,240,90582.41,286919.29,818870.17,240,90582.41,264337.96,445325.78
ETHUSDT,spot,18,240,40881.78,142346.59,429269.10,240,40881.78,109368.61,250387.10
ETHUSDT,spot,19,240,56333.77,221744.21,790515.64,240,56333.77,131709.38,308901.63
ETHUSDT,spot,20,240,55887.03,158867.35,462614.25,240,55887.03,126264.74,247559.10
ETHUSDT,spot,21,240,72036.27,191813.45,550037.96,240,70792.67,148030.33,226799.23
ETHUSDT,spot,22,240,92661.66,223648.68,718479.16,240,92661.66,184375.09,303782.05
ETHUSDT,spot,23,240,80965.95,193162.51,500729.50,240,80965.95,147437.99,296764.68
LINKUSDT,perpetual,0,1800,16232.31,62903.07,251716.57,1800,14808.90,45168.28,139902.30
LINKUSDT,perpetual,1,1800,15247.64,55425.53,221899.23,1800,14757.15,38320.64,121448.43
LINKUSDT,perpetual,2,1800,17553.28,59011.70,263001.46,1800,16188.40,44748.44,118146.60
LINKUSDT,perpetual,3,1800,18477.37,59148.97,214508.18,1800,16606.56,45217.49,119363.15
LINKUSDT,perpetual,4,1800,15097.48,55142.40,211247.90,1800,13777.41,41160.09,113164.52
LINKUSDT,perpetual,5,1800,17180.20,71003.69,274650.15,1771,15936.91,49982.01,138246.30
LINKUSDT,perpetual,6,1800,18851.87,66586.25,259624.12,1800,17312.19,48349.13,149428.69
LINKUSDT,perpetual,7,1800,18069.45,66489.12,250279.90,1800,16665.43,50081.54,136131.17
LINKUSDT,perpetual,8,1800,17607.90,63587.54,233442.96,1800,16381.10,48335.20,114000.29
LINKUSDT,perpetual,9,1800,24171.05,87758.68,313464.23,1800,23135.77,60978.93,139359.49
LINKUSDT,perpetual,10,1800,31555.59,101896.95,315815.61,1800,29558.44,79025.44,158607.12
