symbol,tipo,hora_brt,participacao,d_stop,fonte_d_stop,ref_p10,ref_p50,ref_p90,notional_p10,notional_p50,notional_p90,r_brl_p10,r_brl_p50,r_brl_p90
ARBUSDT,perpetual,22,0.02,0.02114179,mediana_da_familia,3266.38,12620.68,219320.58,65.33,252.41,4386.41,7.07,27.32,474.79
ARBUSDT,perpetual,22,0.05,0.02114179,mediana_da_familia,3266.38,12620.68,219320.58,163.32,631.03,10966.03,17.68,68.30,1186.98
ARBUSDT,perpetual,23,0.01,0.02114179,mediana_da_familia,3373.85,12179.87,180365.60,33.74,121.80,1803.66,3.65,13.18,195.23
ARBUSDT,perpetual,23,0.02,0.02114179,mediana_da_familia,3373.85,12179.87,180365.60,67.48,243.60,3607.31,7.30,26.37,390.46
ARBUSDT,perpetual,23,0.05,0.02114179,mediana_da_familia,3373.85,12179.87,180365.60,168.69,608.99,9018.28,18.26,65.92,976.15
ARBUSDT,spot,0,0.01,0.02114179,mediana_da_familia,1114.56,5224.76,8745.34,11.15,52.25,87.45,1.21,5.66,9.47
ARBUSDT,spot,0,0.02,0.02114179,mediana_da_familia,1114.56,5224.76,8745.34,22.29,104.50,174.91,2.41,11.31,18.93
ARBUSDT,spot,0,0.05,0.02114179,mediana_da_familia,1114.56,5224.76,8745.34,55.73,261.24,437.27,6.03,28.28,47.33
ARBUSDT,spot,1,0.01,0.02114179,mediana_da_familia,1100.22,4702.79,12726.87,11.00,47.03,127.27,1.19,5.09,13.78
ARBUSDT,spot,1,0.02,0.02114179,mediana_da_familia,1100.22,4702.79,12726.87,22.00,94.06,254.54,2.38,10.18,27.55
ARBUSDT,spot,1,0.05,0.02114179,mediana_da_familia,1100.22,4702.79,12726.87,55.01,235.14,636.34,5.95,25.45,68.88
ARBUSDT,spot,2,0.01,0.02114179,mediana_da_familia,2287.45,9918.50,139831.74,22.87,99.19,1398.32,2.48,10.74,151.36
ARBUSDT,spot,2,0.02,0.02114179,mediana_da_familia,2287.45,9918.50,139831.74,45.75,198.37,2796.63,4.95,21.47,302.71
ARBUSDT,spot,2,0.05,0.02114179,mediana_da_familia,2287.45,9918.50,139831.74,114.37,495.93,6991.59,12.38,53.68,756.78
ARBUSDT,spot,3,0.01,0.02114179,mediana_da_familia,2709.95,9631.49,30988.34,27.10,96.31,309.88,2.93,10.43,33.54
ARBUSDT,spot,3,0.02,0.02114179,mediana_da_familia,2709.95,9631.49,30988.34,54.20,192.63,619.77,5.87,20.85,67.08
ARBUSDT,spot,3,0.05,0.02114179,mediana_da_familia,2709.95,9631.49,30988.34,135.50,481.57,1549.42,14.67,52.13,167.71
ARBUSDT,spot,4,0.01,0.02114179,mediana_da_familia,2737.98,8076.92,25766.10,27.38,80.77,257.66,2.96,8.74,27.89
ARBUSDT,spot,4,0.02,0.02114179,mediana_da_familia,2737.98,8076.92,25766.10,54.76,161.54,515.32,5.93,17.49,55.78
ARBUSDT,spot,4,0.05,0.02114179,mediana_da_familia,2737.98,8076.92,25766.10,136.90,403.85,1288.30,14.82,43.71,139.45
ARBUSDT,spot,5,0.01,0.02114179,mediana_da_familia,2674.95,10292.09,31823.09,26.75,102.92,318.23,2.90,11.14,34.45
ARBUSDT,spot,5,0.02,0.02114179,mediana_da_familia,2674.95,10292.09,31823.09,53.50,205.84,636.46,5.79,22.28,68.89
ARBUSDT,spot,5,0.05,0.02114179,mediana_da_familia,2674.95,10292.09,31823.09,133.75,514.60,1591.15,14.48,55.70,172.23
ARBUSDT,spot,6,0.01,0.02114179,mediana_da_familia,2509.37,6666.37,53729.44,25.09,66.66,537.29,2.72,7.22,58.16
ARBUSDT,spot,6,0.02,0.02114179,mediana_da_familia,2509.37,6666.37,53729.44,50.19,133.33,1074.59,5.43,14.43,116.32
ARBUSDT,spot,6,0.05,0.02114179,mediana_da_familia,2509.37,6666.37,53729.44,125.47,333.32,2686.47,13.58,36.08,290.79
ARBUSDT,spot,7,0.01,0.02114179,mediana_da_familia,3075.72,12892.98,71087.04,30.76,128.93,710.87,3.33,13.96,76.95
ARBUSDT,spot,7,0.02,0.02114179,mediana_da_familia,3075.72,12892.98,71087.04,61.51,257.86,1421.74,6.66,27.91,153.89
ARBUSDT,spot,7,0.05,0.02114179,mediana_da_familia,3075.72,12892.98,71087.04,153.79,644.65,3554.35,16.65,69.78,384.73
ARBUSDT,spot,8,0.01,0.02114179,mediana_da_familia,2252.71,7297.91,18622.00,22.53,72.98,186.22,2.44,7.90,20.16
ARBUSDT,spot,8,0.02,0.02114179,mediana_da_familia,2252.71,7297.91,18622.00,45.05,145.96,372.44,4.88,15.80,40.31
ARBUSDT,spot,8,0.05,0.02114179,mediana_da_familia,2252.71,7297.91,18622.00,112.64,364.90,931.10,12.19,39.50,100.78
ARBUSDT,spot,9,0.01,0.02114179,mediana_da_familia,2158.65,8726.59,27884.96,21.59,87.27,278.85,2.34,9.45,30.18
ARBUSDT,spot,9,0.02,0.02114179,mediana_da_familia,2158.65,8726.59,27884.96,43.17,174.53,557.70,4.67,18.89,60.37
ARBUSDT,spot,9,0.05,0.02114179,mediana_da_familia,2158.65,8726.59,27884.96,107.93,436.33,1394.25,11.68,47.23,150.92
ARBUSDT,spot,10,0.01,0.02114179,mediana_da_familia,3657.11,12859.51,29800.48,36.57,128.60,298.00,3.96,13.92,32.26
ARBUSDT,spot,10,0.02,0.02114179,mediana_da_familia,3657.11,12859.51,29800.48,73.14,257.19,596.01,7.92,27.84,64.51
ARBUSDT,spot,10,0.05,0.02114179,mediana_da_familia,3657.11,12859.51,29800.48,182.86,642.98,1490.02,19.79,69.60,161.28
ARBUSDT,spot,11,0.01,0.02114179,mediana_da_familia,5849.13,19036.49,27588.92,58.49,190.36,275.89,6.33,20.61,29.86
ARBUSDT,spot,11,0.02,0.02114179,mediana_da_familia,5849.13,19036.49,27588.92,116.98,380.73,551.78,12.66,41.21,59.73
ARBUSDT,spot,11,0.05,0.02114179,mediana_da_familia,5849.13,19036.49,27588.92,292.46,951.82,1379.45,31.66,103.03,149.31
ARBUSDT,spot,12,0.01,0.02114179,mediana_da_familia,6800.12,18807.29,44688.37,68.00,188.07,446.88,7.36,20.36,48.37
ARBUSDT,spot,12,0.02,0.02114179,mediana_da_familia,6800.12,18807.29,44688.37,136.00,376.15,893.77,14.72,40.71,96.74
ARBUSDT,spot,12,0.05,0.02114179,mediana_da_familia,6800.12,18807.29,44688.37,340.01,940.36,2234.42,36.80,101.79,241.86
ARBUSDT,spot,13,0.01,0.02114179,mediana_da_familia,5535.78,18488.74,105659.80,55.36,184.89,1056.60,5.99,20.01,114.37
ARBUSDT,spot,13,0.02,0.02114179,mediana_da_familia,5535.78,18488.74,105659.80,110.72,369.77,2113.20,11.98,40.03,228.74
ARBUSDT,spot,13,0.05,0.02114179,mediana_da_familia,5535.78,18488.74,105659.80,276.79,924.44,5282.99,29.96,100.06,571.84
ARBUSDT,spot,14,0.01,0.02114179,mediana_da_familia,5324.15,13118.38,71069.71,53.24,131.18,710.70,5.76,14.20,76.93
ARBUSDT,spot,14,0.02,0.02114179,mediana_da_familia,5324.15,13118.38,71069.71,106.48,262.37,1421.39,11.53,28.40,153.85
ARBUSDT,spot,14,0.05,0.02114179,mediana_da_familia,5324.15,13118.38,71069.71,266.21,655.92,3553.49,28.81,71.00,384.64
ARBUSDT,spot,15,0.01,0.02114179,mediana_da_familia,2549.97,9944.56,14242.77,25.50,99.45,142.43,2.76,10.76,15.42
ARBUSDT,spot,15,0.02,0.02114179,mediana_da_familia,2549.97,9944.56,14242.77,51.00,198.89,284.86,5.52,21.53,30.83
ARBUSDT,spot,15,0.05,0.02114179,mediana_da_familia,2549.97,9944.56,14242.77,127.50,497.23,712.14,13.80,53.82,77.08
ARBUSDT,spot,16,0.01,0.02114179,mediana_da_familia,1879.63,6603.99,20014.45,18.80,66.04,200.14,2.03,7.15,21.66
ARBUSDT,spot,16,0.02,0.02114179,mediana_da_familia,1879.63,6603.99,20014.45,37.59,132.08,400.29,4.07,14.30,43.33
ARBUSDT,spot,16,0.05,0.02114179,mediana_da_familia,1879.63,6603.99,20014.45,93.98,330.20,1000.72,10.17,35.74,108.32
ARBUSDT,spot,17,0.01,0.02114179,mediana_da_familia,2049.42,6607.87,15123.19,20.49,66.08,151.23,2.22,7.15,16.37
ARBUSDT,spot,17,0.02,0.02114179,mediana_da_familia,2049.42,6607.87,15123.19,40.99,132.16,302.46,4.44,14.30,32.74
ARBUSDT,spot,17,0.05,0.02114179,mediana_da_familia,2049.42,6607.87,15123.19,102.47,330.39,756.16,11.09,35.76,81.85
ARBUSDT,spot,18,0.01,0.02114179,mediana_da_familia,1182.36,4831.07,11912.79,11.82,48.31,119.13,1.28,5.23,12.89
ARBUSDT,spot,18,0.02,0.02114179,mediana_da_familia,1182.36,4831.07,11912.79,23.65,96.62,238.26,2.56,10.46,25.79
ARBUSDT,spot,18,0.05,0.02114179,mediana_da_familia,1182.36,4831.07,11912.79,59.12,241.55,595.64,6.40,26.15,64.47
ARBUSDT,spot,19,0.01,0.02114179,mediana_da_familia,1371.70,4566.70,10974.54,13.72,45.67,109.75,1.48,4.94,11.88
ARBUSDT,spot,19,0.02,0.02114179,mediana_da_familia,1371.70,4566.70,10974.54,27.43,91.33,219.49,2.97,9.89,23.76
ARBUSDT,spot,19,0.05,0.02114179,mediana_da_familia,1371.70,4566.70,10974.54,68.59,228.33,548.73,7.42,24.72,59.40
ARBUSDT,spot,20,0.01,0.02114179,mediana_da_familia,993.39,3603.63,11340.48,9.93,36.04,113.40,1.08,3.90,12.28
ARBUSDT,spot,20,0.02,0.02114179,mediana_da_familia,993.39,3603.63,11340.48,19.87,72.07,226.81,2.15,7.80,24.55
ARBUSDT,spot,20,0.05,0.02114179,mediana_da_familia,993.39,3603.63,11340.48,49.67,180.18,567.02,5.38,19.50,61.38
ARBUSDT,spot,21,0.01,0.02114179,mediana_da_familia,1888.40,5223.98,11419.48,18.88,52.24,114.19,2.04,5.65,12.36
ARBUSDT,spot,21,0.02,0.02114179,mediana_da_familia,1888.40,5223.98,11419.48,37.77,104.48,228.39,4.09,11.31,24.72
ARBUSDT,spot,21,0.05,0.02114179,mediana_da_familia,1888.40,5223.98,11419.48,94.42,261.20,570.97,10.22,28.27,61.80
ARBUSDT,spot,22,0.01,0.02114179,mediana_da_familia,1533.14,9237.19,24912.35,15.33,92.37,249.12,1.66,10.00,26.97
ARBUSDT,spot,22,0.02,0.02114179,mediana_da_familia,1533.14,9237.19,24912.35,30.66,184.74,498.25,3.32,20.00,53.93
ARBUSDT,spot,22,0.05,0.02114179,mediana_da_familia,1533.14,9237.19,24912.35,76.66,461.86,1245.62,8.30,49.99,134.83
ARBUSDT,spot,23,0.01,0.02114179,mediana_da_familia,1227.28,4848.00,15480.29,12.27,48.48,154.80,1.33,5.25,16.76
ARBUSDT,spot,23,0.02,0.02114179,mediana_da_familia,1227.28,4848.00,15480.29,24.55,96.96,309.61,2.66,10.50,33.51
ARBUSDT,spot,23,0.05,0.02114179,mediana_da_familia,1227.28,4848.00,15480.29,61.36,242.40,774.01,6.64,26.24,83.78
BNBUSDT,perpetual,0,0.01,0.02114179,mediana_da_familia,31790.37,85352.05,221918.53,317.90,853.52,2219.19,34.41,92.39,240.21
BNBUSDT,perpetual,0,0.02,0.02114179,mediana_da_familia,31790.37,85352.05,221918.53,635.81,1707.04,4438.37,68.82,184.77,480.42
BNBUSDT,perpetual,0,0.05,0.02114179,mediana_da_familia,31790.37,85352.05,221918.53,1589.52,4267.60,11095.93,172.05,461.93,1201.04
BNBUSDT,perpetual,1,0.01,0.02114179,mediana_da_familia,31993.84,76840.63,213974.06,319.94,768.41,2139.74,34.63,83.17,231.61
BNBUSDT,perpetual,1,0.02,0.02114179,mediana_da_familia,31993.84,76840.63,213974.06,639.88,1536.81,4279.48,69.26,166.35,463.22
BNBUSDT,perpetual,1,0.05,0.02114179,mediana_da_familia,31993.84,76840.63,213974.06,1599.69,3842.03,10698.70,173.15,415.87,1158.05
BNBUSDT,perpetual,2,0.01,0.02114179,mediana_da_familia,29077.40,87637.05,237616.66,290.77,876.37,2376.17,31.47,94.86,257.20
BNBUSDT,perpetual,2,0.02,0.02114179,mediana_da_familia,29077.40,87637.05,237616.66,581.55,1752.74,4752.33,62.95,189.72,514.40
BNBUSDT,perpetual,2,0.05,0.02114179,mediana_da_familia,29077.40,87637.05,237616.66,1453.87,4381.85,11880.83,157.37,474.30,1286.00
BNBUSDT,perpetual,3,0.01,0.02114179,mediana_da_familia,36939.70,93151.66,256345.65,369.40,931.52,2563.46,39.98,100.83,277.47
BNBUSDT,perpetual,3,0.02,0.02114179,mediana_da_familia,36939.70,93151.66,256345.65,738.79,1863.03,5126.91,79.97,201.66,554.95
BNBUSDT,perpetual,3,0.05,0.02114179,mediana_da_familia,36939.70,93151.66,256345.65,1846.98,4657.58,12817.28,199.92,504.14,1387.36
BNBUSDT,perpetual,4,0.01,0.02114179,mediana_da_familia,29001.47,103672.05,369689.05,290.01,1036.72,3696.89,31.39,112.22,400.16
BNBUSDT,perpetual,4,0.02,0.02114179,mediana_da_familia,29001.47,103672.05,369689.05,580.03,2073.44,7393.78,62.78,224.43,800.32
BNBUSDT,perpetual,4,0.05,0.02114179,mediana_da_familia,29001.47,103672.05,369689.05,1450.07,5183.60,18484.45,156.96,561.08,2000.79
BNBUSDT,perpetual,5,0.01,0.02114179,mediana_da_familia,43318.10,117932.06,636838.21,433.18,1179.32,6368.38,46.89,127.65,689.32
BNBUSDT,perpetual,5,0.02,0.02114179,mediana_da_familia,43318.10,117932.06,636838.21,866.36,2358.64,12736.76,93.78,255.30,1378.65
BNBUSDT,perpetual,5,0.05,0.02114179,mediana_da_familia,43318.10,117932.06,636838.21,2165.90,5896.60,31841.91,234.44,638.26,3446.62
BNBUSDT,perpetual,6,0.01,0.02114179,mediana_da_familia,37335.30,108991.53,424834.96,373.35,1089.92,4248.35,40.41,117.97,459.85
BNBUSDT,perpetual,6,0.02,0.02114179,mediana_da_familia,37335.30,108991.53,424834.96,746.71,2179.83,8496.70,80.82,235.95,919.70
BNBUSDT,perpetual,6,0.05,0.02114179,mediana_da_familia,37335.30,108991.53,424834.96,1866.77,5449.58,21241.75,202.06,589.87,2299.24
BNBUSDT,perpetual,7,0.01,0.02114179,mediana_da_familia,33652.95,102387.20,317763.64,336.53,1023.87,3177.64,36.43,110.83,343.95
BNBUSDT,perpetual,7,0.02,0.02114179,mediana_da_familia,33652.95,102387.20,317763.64,673.06,2047.74,6355.27,72.85,221.65,687.91
