versao,dia,mercado,original,janela,r_exf,r_net,r_bruto,risco_pct,atr_pct
v1,2026-07-02,ZECUSDT,f,J1,-1.133661,,-0.942313,0.010395,0.008386
v1,2026-07-02,UNIUSDT,f,J1,-1.127919,,-0.944773,0.010858,0.010264
v1,2026-07-02,NEARUSDT,f,J1,1.683353,,2.056923,0.005380,0.006333
v1,2026-07-02,UNIUSDT,f,J1,1.361596,,1.571244,0.009606,0.009640
v1,2026-07-03,TAOUSDT,f,J1,-0.635581,,-0.397970,0.008398,0.006557
v1,2026-07-03,NEARUSDT,f,J1,-1.134821,,-0.941816,0.010306,0.010202
v1,2026-07-03,ZECUSDT,f,J1,1.397710,,1.616275,0.009213,0.009400
v1,2026-07-03,UNIUSDT,f,J1,0.573589,,0.797661,0.008952,0.006214
v1,2026-07-04,NEARUSDT,f,J1,-1.151928,,-0.934488,0.009153,0.007574
v1,2026-07-04,ZECUSDT,f,J1,1.066644,,1.318862,0.007967,0.007155
v1,2026-07-04,ZECUSDT,f,J1,-1.187604,,-0.919205,0.007422,0.006251
v1,2026-07-04,ZECUSDT,f,J1,-1.183713,,-0.920871,0.007578,0.006233
v1,2026-07-06,NEARUSDT,f,J1,-1.122423,,-0.947127,0.011341,0.008771
v1,2026-07-06,NEARUSDT,f,J1,-1.130655,,-0.943601,0.010632,0.008545
v1,2026-07-06,TAOUSDT,f,J1,-1.203032,,-0.912595,0.006860,0.006265
v1,2026-07-06,ARBUSDT,f,J1,-1.206965,,-0.910910,0.006731,0.006010
v1,2026-07-06,TAOUSDT,f,J1,-1.187955,,-0.919054,0.007408,0.006391
v1,2026-07-06,ARBUSDT,f,J1,-1.219224,,-0.905659,0.006356,0.006263
v1,2026-07-07,NEARUSDT,f,J1,-1.149517,,-0.935520,0.009300,0.007737
v1,2026-07-07,SAHARAUSDT,f,J1,-1.233967,,-0.899343,0.005957,0.006296
v1,2026-07-07,PROMUSDT,f,J1,1.248555,,1.422407,0.011592,0.010999
v1,2026-07-07,ZECUSDT,f,J1,-1.096661,,-0.958163,0.014333,0.013180
v1,2026-07-07,DASHUSDT,f,J1,-1.112976,,-0.951174,0.012281,0.009476
v1,2026-07-07,UNIUSDT,f,J1,-1.169983,,-0.926753,0.008187,0.007901
v1,2026-07-07,ZECUSDT,f,J1,-1.269371,,-0.884176,0.005177,0.011375
v1,2026-07-07,ZECUSDT,f,J1,-1.126861,,-0.945226,0.010948,0.011542
v1,2026-07-07,DASHUSDT,f,J1,-1.173187,,-0.925381,0.008036,0.008842
v1,2026-07-08,PROMUSDT,f,J1,1.435960,,1.594878,0.012705,0.012944
v1,2026-07-08,DASHUSDT,f,J1,-1.127983,,-0.944745,0.010852,0.008841
v1,2026-07-08,ZECUSDT,f,J1,0.996143,,1.171453,0.011478,0.009747
v1,2026-07-08,UNIUSDT,f,J1,1.395926,,1.552671,0.012879,0.012911
v1,2026-07-09,UNIUSDT,f,J1,0.777942,,0.938642,0.012511,0.009491
v1,2026-07-09,PROMUSDT,f,J1,0.931693,,1.159913,0.008803,0.007376
v1,2026-07-09,NEARUSDT,f,J1,-1.230535,,-0.900813,0.006046,0.006491
v1,2026-07-09,SAHARAUSDT,f,J1,-1.148821,,-0.935818,0.009343,0.009695
v1,2026-07-09,ZECUSDT,f,J1,0.795183,,1.048364,0.007928,0.006266
v1,2026-07-09,UNIUSDT,f,J1,2.485585,,2.928602,0.004542,0.008742
v1,2026-07-09,SAHARAUSDT,f,J1,-1.124871,,-0.946079,0.011121,0.008608
v1,2026-07-09,SAHARAUSDT,f,J1,1.430369,,1.728241,0.006749,0.007123
v1,2026-07-09,ZECUSDT,f,J1,1.557114,,1.859944,0.006641,0.007352
v1,2026-07-09,NEARUSDT,f,J1,0.972306,,1.223618,0.007992,0.006877
v1,2026-07-09,ARBUSDT,f,J1,-1.065978,,-0.971308,0.020899,0.012115
v1,2026-07-09,ARBUSDT,f,J1,-1.118403,,-0.948849,0.011723,0.013826
v1,2026-07-09,ZECUSDT,f,J1,1.644026,,1.921775,0.007247,0.008221
v1,2026-07-10,PROMUSDT,f,J1,-0.639456,,-0.451063,0.010584,0.010778
v1,2026-07-10,ARBUSDT,f,J1,-1.122370,,-0.947150,0.011346,0.010859
v1,2026-07-10,ARBUSDT,f,J1,-1.117529,,-0.949224,0.011809,0.011002
v1,2026-07-10,PROMUSDT,f,J1,-1.197450,,-0.959649,0.008372,0.007777
v1,2026-07-10,ARBUSDT,f,J1,-1.100597,,-0.956477,0.013778,0.011454
v1,2026-07-10,DASHUSDT,f,J1,1.280665,,1.579800,0.006717,0.006692
v1,2026-07-10,UNIUSDT,f,J1,-0.252681,,-0.104543,0.013483,0.010099
v1,2026-07-10,ZECUSDT,f,J1,0.665868,,0.852883,0.010737,0.009570
v1,2026-07-10,UNIUSDT,f,J1,1.261984,,1.582908,0.006259,0.006227
v1,2026-07-10,ZECUSDT,f,J1,-1.152222,,-0.934362,0.009136,0.006098
v1,2026-07-12,ARBUSDT,f,J2,0.927516,,1.073385,0.013804,0.011238
