versao,dia,mercado,original,janela,barra,rotulo,r_exf,r_net,r_bruto,risco_pct
mean_reversion v10,2026-06-25,ARBUSDT,f,J1,2026-06-25T10:00:00Z,HIGH_VOLATILITY,-1.063569,,-0.972340,0.021679
mean_reversion v10,2026-06-25,XRPUSDT,t,J1,2026-06-25T10:00:00Z,HIGH_VOLATILITY,-1.093423,,-0.959551,0.014824
mean_reversion v10,2026-06-25,PROMUSDT,f,J1,2026-06-25T10:15:00Z,HIGH_VOLATILITY,-1.061513,,-0.973220,0.022392
mean_reversion v10,2026-06-25,SOLUSDT,t,J1,2026-06-25T10:15:00Z,HIGH_VOLATILITY,-1.065395,,-0.971557,0.021082
mean_reversion v10,2026-06-25,DASHUSDT,f,J1,2026-06-25T10:45:00Z,HIGH_VOLATILITY,-1.046202,,-0.979779,0.029655
mean_reversion v10,2026-06-25,SUIUSDT,f,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.066114,,-0.971249,0.020857
mean_reversion v10,2026-06-25,UNIUSDT,f,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.051033,,-0.977710,0.026902
mean_reversion v10,2026-06-25,ETHUSDT,t,J1,2026-06-25T11:00:00Z,HIGH_VOLATILITY,-1.077022,,-0.966576,0.017941
mean_reversion v10,2026-06-25,TAOUSDT,f,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.066432,,-0.971113,0.020758
mean_reversion v10,2026-06-25,BTCUSDT,f,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.096138,,-0.958387,0.014410
mean_reversion v10,2026-06-25,ZECUSDT,f,J1,2026-06-25T11:15:00Z,HIGH_VOLATILITY,-1.041921,,-0.981613,0.032613
mean_reversion v10,2026-06-26,BNBUSDT,f,J1,2026-06-26T01:45:00Z,HIGH_VOLATILITY,0.083524,,0.214914,0.015238
mean_reversion v10,2026-06-26,DASHUSDT,f,J1,2026-06-26T02:30:00Z,HIGH_VOLATILITY,0.177243,,0.233347,0.035776
mean_reversion v10,2026-06-26,ZECUSDT,f,J1,2026-06-26T02:30:00Z,HIGH_VOLATILITY,0.268007,,0.327676,0.033683
mean_reversion v10,2026-06-26,ZECUSDT,f,J1,2026-06-26T08:45:00Z,HIGH_VOLATILITY,-1.038746,,-0.982973,0.035217
mean_reversion v10,2026-06-26,BTCUSDT,f,J1,2026-06-26T10:15:00Z,HIGH_VOLATILITY,-1.064107,,-0.972109,0.021499
mean_reversion v10,2026-06-26,PROMUSDT,f,J1,2026-06-26T12:00:00Z,HIGH_VOLATILITY,1.028821,,1.128043,0.020376
mean_reversion v10,2026-06-26,SOLUSDT,t,J1,2026-06-26T12:00:00Z,HIGH_VOLATILITY,1.324099,,1.394125,0.029124
mean_reversion v10,2026-06-26,ETHUSDT,t,J1,2026-06-26T21:00:00Z,HIGH_VOLATILITY,0.083489,,0.179896,0.020772
