versao,mercado,dia,hora_utc,emitted_at,resultado,r_net,r_exf,p_entry,exit_base,risk,atr_pct
mean_reversion v10,DOGEUSDT,2026-08-12,7,2026-08-12 07:15:02+00,expired,-0.0211680719,-0.01384434526670962680770017105,0.07175302600000,0.0718400000,0.0009787367,0.008067381393327405116862825977
mean_reversion v10,NEARUSDT,2026-08-12,7,2026-08-12 07:30:02+00,expired,0.0582841853,0.06447867406192552337876467451,1.64098400000000,1.6450000000,0.0265979601,0.0132415591048574525284683426
mean_reversion v10,ZECUSDT,2026-08-12,16,2026-08-12 16:00:02+00,target,1.2120249839,1.212024983909600496371201942,486.30160600000000,497.3925031445,8.5799414296,0.01080244023372454439736768339
mean_reversion v10,ZECUSDT,2026-08-13,2,2026-08-13 02:30:02+00,target,1.7260679431,1.726067943110435246978161583,485.34103000000000,498.8575654302,7.4294069534,0.01144938943451567245322161686
mean_reversion v10,NEARUSDT,2026-08-13,9,2026-08-13 09:30:02+00,expired,-0.3665425334,-0.3665425334413611310381125867,1.65899480000000,1.6520000000,0.0253995119,0.009754081484484238060354310588
mean_reversion v10,ZECUSDT,2026-08-13,10,2026-08-13 10:45:02+00,expired,0.0579609500,0.05796094995697225454906738745,493.77608800000000,494.9200000000,7.791458662,0.00996026925906133001894532724
mean_reversion v10,TAOUSDT,2026-08-13,10,2026-08-13 10:45:02+00,expired,0.7269593671,0.7305802477123938816513215872,199.40957400000000,201.7000000000,2.7498835134,0.008100626680165067746188143663
mean_reversion v10,SAHARAUSDT,2026-08-13,16,2026-08-13 16:45:02+00,expired,-0.0261649480,-0.02269358345943372083380518805,0.00777065960000,0.0077790000,0.0001121461,0.01000310665490524399344687916
mean_reversion v10,TAOUSDT,2026-08-14,1,2026-08-14 01:15:02+00,expired,-0.6424719393,-0.6385013744112345175637869418,202.26128400000000,200.9200000000,2.5419840236,0.008020921063330694118467217784
mean_reversion v10,SAHARAUSDT,2026-08-14,1,2026-08-14 01:30:02+00,expired,-0.2414274452,-0.2380695744491696221804657297,0.00780167820000,0.0077850000,0.0001158569,0.008866646555732575184757684388
mean_reversion v10,NEARUSDT,2026-08-15,5,2026-08-15 05:00:02+00,expired,-0.3985752455,-0.3916686647172451753879504556,1.63998340000000,1.6330000000,0.0236730744,0.009629948940274121360102666951
mean_reversion v10,TAOUSDT,2026-08-15,5,2026-08-15 05:45:02+00,expired,-0.6473855268,-0.6438479295603714525163552708,198.56907000000000,197.0500000000,2.7887025081,0.008696024137867788696835353342
mean_reversion v10,ZECUSDT,2026-08-15,5,2026-08-15 05:45:02+00,expired,-0.5613174605,-0.5549967882753365896912645914,492.07506800000000,488.4600000000,7.748226454,0.009260148977744940222028618432
mean_reversion v10,LINKUSDT,2026-08-15,7,2026-08-15 07:00:02+00,stop,-1.0831959390,-1.077616617263145566458789286,9.39763520000000,9.2303108548,0.1673243452,0.01314706493593142121984791953
mean_reversion v10,UNIUSDT,2026-08-15,8,2026-08-15 08:15:02+00,expired,-0.0072360254,-0.007236025449530908286157601153,3.25395120000000,3.2580000000,0.0704804818,0.01369760794412789731981534563
mean_reversion v10,NEARUSDT,2026-08-15,13,2026-08-15 13:45:02+00,expired,-0.0656947343,-0.05820079186377552336543392348,1.63498040000000,1.6360000000,0.0218210007,0.008492502340171292526182816375
