signal_id,versao,versao_num,coorte,symbol,base_asset,bar_utc,entry_utc,exit_utc,dia_br,hora_br,motivo,r_net,r_exf,p_entry,entry_base,risk,risco_pct,mae,mae_bar_utc,min_notional,step_size,fee_bps,spread_bps,slippage_bps,vol_min_anterior,vol_mediana_30,barras_30,vol_24h,barras_24h
86d78c8f-4af3-51b6-b36d-8e5ce74027fb,mean_reversion v5,v5,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,0.9986947404,0.9986947404029922829128045669,1.22973740000000,1.229000000000,0.0408520329,0.03324006,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
515d662a-680f-5d92-8ead-2152f12f7065,mean_reversion v6,v6,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,1.3543871096,1.354387109622216397952252010,1.22973740000000,1.229000000000,0.0301233747,0.02451048,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
bc7a832d-4e21-521e-9709-aa3012f44316,mean_reversion v7,v7,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,0.9986947404,0.9986947404029922829128045669,1.22973740000000,1.229000000000,0.0408520329,0.03324006,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
cce0d5b8-5bae-544a-a858-6fa6edeaa65a,mean_reversion v8,v8,replay,XRPUSDT,XRP,2026-08-20T19:30:00Z,2026-08-20T19:31:00Z,2026-08-20T23:31:00Z,2026-08-20,16,expired,1.3543871096,1.354387109622216397952252010,1.22973740000000,1.229000000000,0.0301233747,0.02451048,0.0100374,2026-08-20T19:57:00Z,5.0000000000,0.1000000000,4,2,5,5754961.7269500000,2807610.714685,30,2800293919.2673000000,1440
fc47d4a0-39fd-5f52-8820-41244284b48f,mean_reversion v1,v1,replay,ETHUSDT,ETH,2026-08-20T21:00:00Z,2026-08-20T21:01:00Z,2026-08-20T23:27:00Z,2026-08-20,18,target,1.2616527722,1.261652772179532848970168251,2317.57971400000000,2316.190000000000,14.0101326082,0.00604878,11.559714,2026-08-20T22:03:00Z,20.0000000000,0.0010000000,4,2,5,1854322.5892000000,3515279.709995,30,21877285492.7294000000,1440
9d98b8bf-c261-52d1-8743-a364ab789b5e,mean_reversion v10,v10,replay,ETHUSDT,ETH,2026-08-20T21:00:00Z,2026-08-20T21:01:00Z,2026-08-21T01:01:00Z,2026-08-20,18,expired,0.4351506354,0.4399966997421622889074004011,2317.57971400000000,2316.190000000000,43.3500880947,0.01871612,11.559714,2026-08-20T22:03:00Z,20.0000000000,0.0010000000,4,2,5,1854322.5892000000,3515279.709995,30,21877285492.7294000000,1440
ed78a56c-0aa6-507b-b9b3-fb74133a2e5f,mean_reversion v8,v8,replay,ETHUSDT,ETH,2026-08-20T21:00:00Z,2026-08-20T21:01:00Z,2026-08-21T00:32:00Z,2026-08-20,18,target,1.3304867418,1.340490260588067770209339612,2317.57971400000000,2316.190000000000,21.0003419123,0.00906676,11.559714,2026-08-20T22:03:00Z,20.0000000000,0.0010000000,4,2,5,1854322.5892000000,3515279.709995,30,21877285492.7294000000,1440
3972d3a6-26d1-5429-8d9f-cb7b32771022,mean_reversion v1,v1,replay,SOLUSDT,SOL,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T14:48:00Z,2026-08-21,8,target,1.0649814889,1.064981488868190022030950088,90.58431800000000,90.530000000000,0.9510671994,0.01050555,0.844318,2026-08-21T13:36:00Z,5.0000000000,0.0100000000,4,2,5,889628.0404000000,2776885.85535,30,2995570151.0215000000,1440
c38b0f65-8f75-5485-9562-1da9927ebb6d,mean_reversion v1,v1,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T13:51:00Z,2026-08-21,8,target,1.0052476043,1.005247604335695667109961552,2376.80522800000000,2375.380000000000,24.0373535252,0.01011937,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
be64b211-aa83-5803-bbe6-c9f8494a0b12,mean_reversion v10,v10,replay,ETHUSDT,ETH,2026-08-21T11:45:00Z,2026-08-21T11:46:00Z,2026-08-21T15:46:00Z,2026-08-21,8,expired,0.3677197927,0.3677197926856547746013469788,2376.80522800000000,2375.380000000000,53.3690224088,0.02246757,15.575228,2026-08-21T11:47:00Z,20.0000000000,0.0010000000,4,2,5,9484847.9482000000,13905072.78418,30,21420344070.9706500000,1440
