coorte,risco_pct,agregado_pct,vagas,candidatas,aprovadas,fechadas,ops_dia,r_total,r_dia_medio,r_p10,r_p50,r_p90,pior_dia,usdt_por_r_p50,pnl_usdt,dd_usdt,dd_pct,latch,recusas,limitantes
replay,0.0025,0.01,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.01,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.02,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.02,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.02,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.04,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.04,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.0025,0.04,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
replay,0.005,0.01,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.01,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.01,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.02,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.02,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.02,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.04,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.04,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.005,0.04,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.01,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.01,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.01,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.02,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.02,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.02,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.04,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.04,10,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
replay,0.01,0.04,20,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,266.9193852167676881727930700,120.36012288166757553236742,0.006110665235492726352334873579,None,duplicate_position=2;stop_distance=1,asset_exposure=53;market_participation=8
