tag,mint,set,entry_brt,hour_brt,day_brt,reason,hold_s,pnl_sol,pnl_pct,mfe,mae,mark300,mfe_to_exit,source,n_trades,age_s,progress_pct,buys_1m,sells_1m,snipers,unique_buyers_1m,net_sol_flow_1m,mcap_delta_60s,dev_share,creator_net_seller,holders_rising,progress_rising,participation_pct,real_sol,mcap_sol,creator_prior_mints_1h,symbol_dup_24h,gross_curve_sol,pf_fee_sol,creator_fee_sol,net_fee_sol,ata_rent_sol,exit_slip_sol
KODA#1,9DEyGxXusrQy7BZEjt1uQyzUEZiuKcoSveMjSfwBpump,operator/5,2026-09-19T10:57:04-03:00,10,2026-09-19,target,12,0.0103265170,14.28,139.3,-80.2,-78.9,14.1,tape+photos,1169,66,74.4851,361,106,10,346,26.064806099,86.9894994984,0,False,True,True,0.1090531113068900385941623369,36.748360049,138.4076902986,0,1,0.013850219,0.001459095,0.000460767,0.00009,0.00151384,-0.000906914
KODA#2,9DEyGxXusrQy7BZEjt1uQyzUEZiuKcoSveMjSfwBpump,operator/5,2026-09-19T11:00:10-03:00,11,2026-09-19,target,65,0.0082654880,11.61,16.1,-90.7,-90.7,12.0,tape+photos,477,247,93.2837,246,27,10,169,7.701274331,44.3881811932,0,False,False,True,0.1997171070688409915246488654,66.618114637,289.9987562441,0,1,0.0102409,0.001432913,0.000452499,0.00009,0,-0.002434122
LAJAK,8ZuUAunRr8ynTm5d83z9R5msbezf2iN67echfhjLpump,operator/5,2026-09-19T14:03:22-03:00,14,2026-09-19,trailing,33,-0.0053995920,-7.65,0.2,-46.0,-46.0,0.2,photos,0,229,36.2103,17,17,4,17,1.309862063,1.7574640669,0,False,False,True,0.4078351183875524393688794028,10.963801758,52.1290168464,0,0,-0.002119055,0.001274289,0.000402408,0.00009,0.00151384,-0.000045
ARGUSACT,423d3ANy99xLTKe72K4LDNyzQLLJR3oFAT8sntr6pump,operator/5,2026-09-19T14:17:56-03:00,14,2026-09-19,trailing,23,-0.0094973970,-13.27,8.0,-83.7,-83.7,8.0,tape+photos,81,223,79.3151,13,1,7,10,10.900016068,45.4135783301,0.005814,False,True,True,0.639831555853270925335790561,42.507848955,163.3236457954,0,0,-0.0062432,0.001254271,0.000396086,0.00009,0.00151384,-0.000045
Musepaid#1,4izpAbqCLsXcKsYmhdGCVcpH4x1JcPrZSUd1LWLapump,operator/6,2026-09-19T14:28:06-03:00,14,2026-09-19,trailing,9,-0.0106628440,-14.90,9.0,-83.5,-83.5,-3.2,tape+photos,48,61,78.9367,14,1,1,14,4.368554429,18.9553119105,0,False,True,True,0.6059140817140420374549558397,42.021050534,161.1379844472,0,0,-0.007423399,0.001243059,0.000392546,0.00009,0.00151384,-0.00001335
Musepaid#2,4izpAbqCLsXcKsYmhdGCVcpH4x1JcPrZSUd1LWLapump,operator/5,2026-09-19T14:28:40-03:00,14,2026-09-19,trailing,25,-0.0017760060,-2.54,10.5,-83.2,-83.2,10.5,tape+photos,41,96,79.1384,12,4,1,12,1.349593225,6.0041968815,0,False,True,True,0.3942000034166215324697826211,42.279741826,162.2976414288,0,0,0.000042928,0.001313989,0.000414945,0.00009,0,-0.000045
WIFTIGRINO,EYCY2hF8bYjrzFFT9utHi1zbV7mQo1HDX9MFE9Wqpump,operator/5,2026-09-19T14:41:29-03:00,14,2026-09-19,target,44,0.0117765630,16.46,43.0,-4.6,39.4,16.5,tape+photos,228,61,51.1322,19,5,1,19,3.988276536,12.0047623367,0,False,False,True,0.4381932300155559798556953273,18.226872881,72.2532235961,0,0,0.015300051,0.001458932,0.000460716,0.00009,0.00151384,-0.000045
CHARLI,DufKeFYXx1HpCFDAUBGbqiRBVG32LUn5mYEPkubFqJ8p,operator/5,2026-09-19T15:20:42-03:00,15,2026-09-19,trailing,38,-0.0106874420,-14.86,4.4,-23.3,-10.7,-4.6,tape+photos,161,279,54.634,20,7,2,19,3.544306748,10.7868916981,0,False,True,True,0.7101421589904195254951710543,20.320655739,78.6631993969,0,1,-0.00743867,0.001250148,0.000394784,0.00009,0.00151384,-0.000045
nikita,38SqvZ5e6XvoY6CHbN5XfyeSe5NZenDje16MMZNFpump,operator/5,2026-09-19T15:25:14-03:00,15,2026-09-19,trailing,8,-0.0208497240,-29.18,-4.6,-43.3,-39.1,-4.6,photos,0,205,42.5886,75,29,1,64,11.166500221,26.2157449735,0,False,True,True,0.1632430632718123971365041091,13.782209884,59.5489872274,0,0,-0.017742096,0.001142878,0.00036091,0.00009,0.00151384,0.000399818
Drillers,E5Em2xKN6kmcpNGm65HgbVf7qps1iyEXNBDfYA3rpump,operator/5,2026-09-19T16:52:23-03:00,16,2026-09-19,creator_dump,11,0.0045191820,6.24,115.0,-5.7,85.2,-4.6,tape+photos,500,220,42.8431,22,13,1,21,5.016553764,12.9019964377,0,False,False,True,0.3211491291339652685374029497,13.902756688,59.8773545019,0,0,0.008012482,0.0014056,0.000443874,0.000129986,0.00151384,-0.000045
